Right Round	Flo Rida
Dead And Gone	T.I. Featuring Justin Timberlake
Poker Face	Lady Gaga
Kiss Me Thru The Phone	Soulja Boy Tell 'em Featuring Sammie
Gives You Hell	The All-American Rejects
The Climb	Miley Cyrus
Just Dance	Lady Gaga Featuring Colby O'Donis
Heartless	Kanye West
My Life Would Suck Without You	Kelly Clarkson
Blame It	Jamie Foxx Featuring T-Pain
Crack A Bottle	Eminem, Dr. Dre & 50 Cent
Love Story	Taylor Swift
Mad	Ne-Yo
Circus	Britney Spears
You Found Me	The Fray
Turnin Me On	Keri Hilson Featuring Lil Wayne
I Love College	Asher Roth
Sober	P!nk
Beautiful	Akon Featuring Colby O'Donis & Kardinal Offishall
Single Ladies (Put A Ring On It)	Beyonce
I'm Yours	Jason Mraz
Let It Rock	Kevin Rudolf Featuring Lil Wayne
Diva	Beyonce
Rockin' That Thang	The-Dream
I Hate This Part	The Pussycat Dolls
Hot N Cold	Katy Perry
Day 'N' Nite	Kid Cudi
Viva La Vida	Coldplay
Live Your Life	T.I. Featuring Rihanna
Sweet Thing	Keith Urban
White Horse	Taylor Swift
Untouched	The Veronicas
How Do You Sleep?	Jesse McCartney Featuring Ludacris
Thinking Of You	Katy Perry
Gotta Be Somebody	Nickelback
Jai Ho! (You Are My Destiny)	A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger
Halo	Beyonce
It Won't Be Like This For Long	Darius Rucker
All The Above	Maino Featuring T-Pain
Whatever You Like	T.I.
God Love Her	Toby Keith
So What	P!nk
Second Chance	Shinedown
Cowgirls Don't Cry	Brooks & Dunn Featuring Reba McEntire
Womanizer	Britney Spears
She's Country	Jason Aldean
1, 2, 3, 4	Plain White T's
Ain't I	Yung L.A. Featuring Young Dro & T.I.
Stanky Legg	GS Boyz
Chicken Fried	Zac Brown Band
Don't Trust Me	3OH!3
It's America	Rodney Atkins
If U Seek Amy	Britney Spears
I Know You Want Me (Calle Ocho)	Pitbull
Down The Road	Kenny Chesney With Mac McAnally
Beep	Bobby V Featuring Yung Joc
Don't Think I Can't Love You	Jake Owen
Sex On Fire	Kings Of Leon
River Of Love	George Strait
Lucky	Jason Mraz & Colbie Caillat
Move (If You 'W'anna)	Mims
I Told You So	Carrie Underwood Featuring Randy Travis
You Complete Me	Keyshia Cole
Use Somebody	Kings Of Leon
I'm On A Boat	The Lonely Island Featuring T-Pain
That's Not My Name	The Ting Tings
You're Not Sorry	Taylor Swift
She Wouldn't Be Gone	Blake Shelton
Nothin' To Die For	Tim McGraw
She Got Her Own	Ne-Yo Featuring Jamie Foxx & Fabolous
Just Like Me	Jamie Foxx Featuring T.I.
Never Ever	Ciara Featuring Young Jeezy
I'm In Miami Trick	LMFAO
Lions, Tigers & Bears	Jazmine Sullivan
Shuttin' Detroit Down	John Rich
Here Comes Goodbye	Rascal Flatts
Last Call	Lee Ann Womack
Freeze	T-Pain Featuring Chris Brown
Magnificent	U2
I Will Be	Leona Lewis
Lost	Gorilla Zoe
My Love	The-Dream Featuring Mariah Carey
Prom Queen	Lil Wayne Featuring Shanell AKA SNL
Angels On The Moon	Thriving Ivory
If This Isn't Love	Jennifer Hudson
Don't	Billy Currington
Next To You	Mike Jones
Magnificent	Rick Ross Featuring John Legend
Ride	Martina McBride
You Can Get It All	Bow Wow Featuring Johnta Austin
Kids	MGMT
Country Boy	Alan Jackson
Candle (Sick And Tired)	The White Tie Affair
The Fear	Lily Allen
Lollipop	Framing Hanley
LoveGame	Lady Gaga
It Happens	Sugarland
Turn My Swag On	Soulja Boy Tell'em
Marry For Money	Trace Adkins
More Like Her	Miranda Lambert
