Boom Boom Pow	The Black Eyed Peas
Poker Face	Lady Gaga
Right Round	Flo Rida
Kiss Me Thru The Phone	Soulja Boy Tell 'em Featuring Sammie
Blame It	Jamie Foxx Featuring T-Pain
Dead And Gone	T.I. Featuring Justin Timberlake
Day 'N' Nite	Kid Cudi
The Climb	Miley Cyrus
You Found Me	The Fray
Gives You Hell	The All-American Rejects
My Life Would Suck Without You	Kelly Clarkson
Just Dance	Lady Gaga Featuring Colby O'Donis
Halo	Beyonce
Love Story	Taylor Swift
Turnin Me On	Keri Hilson Featuring Lil Wayne
Love Sex Magic	Ciara Featuring Justin Timberlake
Sugar	Flo Rida Featuring Wynter
I Love College	Asher Roth
Heartless	Kanye West
Mad	Ne-Yo
If U Seek Amy	Britney Spears
Second Chance	Shinedown
Sober	P!nk
Beautiful	Akon Featuring Colby O'Donis & Kardinal Offishall
Don't Trust Me	3OH!3
I'm Yours	Jason Mraz
I Know You Want Me (Calle Ocho)	Pitbull
Hoedown Throwdown	Miley Cyrus
I Told You So	Carrie Underwood Featuring Randy Travis
How Do You Sleep?	Jesse McCartney Featuring Ludacris
Circus	Britney Spears
Rockin' That Thang	The-Dream
Here Comes Goodbye	Rascal Flatts
She's Country	Jason Aldean
1, 2, 3, 4	Plain White T's
Turn My Swag On	Soulja Boy Tell'em
Let It Rock	Kevin Rudolf Featuring Lil Wayne
Crazier	Taylor Swift
Jai Ho! (You Are My Destiny)	A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger
Hot N Cold	Katy Perry
Don't Forget	Demi Lovato
Crack A Bottle	Eminem, Dr. Dre & 50 Cent
Viva La Vida	Coldplay
White Horse	Taylor Swift
It Happens	Sugarland
Knock You Down	Keri Hilson Featuring Kanye West & Ne-Yo
Single Ladies (Put A Ring On It)	Beyonce
All The Above	Maino Featuring T-Pain
It's America	Rodney Atkins
Best Days Of Your Life	Kellie Pickler
I Hate This Part	The Pussycat Dolls
Ain't I	Yung L.A. Featuring Young Dro & T.I.
That's Not My Name	The Ting Tings
Then	Brad Paisley
I Run To You	Lady Antebellum
You Can Get It All	Bow Wow Featuring Johnta Austin
Candle (Sick And Tired)	The White Tie Affair
It Won't Be Like This For Long	Darius Rucker
Lucky	Jason Mraz & Colbie Caillat
Don't Think I Can't Love You	Jake Owen
Kiss A Girl	Keith Urban
Diva	Beyonce
Use Somebody	Kings Of Leon
Stanky Legg	GS Boyz
Magnificent	Rick Ross Featuring John Legend
Careless Whisper	Seether
One In Every Crowd	Montgomery Gentry
Thinking Of You	Katy Perry
Whatever It Is	Zac Brown Band
Boyfriend #2	Pleasure P
I'm On A Boat	The Lonely Island Featuring T-Pain
Butterfly Fly Away	Miley Cyrus & Billy Ray Cyrus
Nothin' To Die For	Tim McGraw
Next To You	Mike Jones
Let's Get Crazy	Hannah Montana
Shuttin' Detroit Down	John Rich
Move (If You 'W'anna)	Mims
River Of Love	George Strait
Imma Put It On Her	DAY26 Featuring P. Diddy & Yung Joc
Unstoppable	Rascal Flatts
Untouched	The Veronicas
Never Ever	Ciara Featuring Young Jeezy
The Fear	Lily Allen
Sideways	Dierks Bentley
She Got Her Own	Ne-Yo Featuring Jamie Foxx & Fabolous
If This Isn't Love	Jennifer Hudson
Ride	Martina McBride
You'll Always Find Your Way Back Home	Hannah Montana
sobeautiful	Musiq Soulchild
Not Meant To Be	Theory Of A Deadman
Birthday Sex	Jeremih
Sissy's Song	Alan Jackson
You Complete Me	Keyshia Cole
Prom Queen	Lil Wayne Featuring Shanell AKA SNL
Always The Love Songs	Eli Young Band
Kids	MGMT
My Love	The-Dream Featuring Mariah Carey
Marry For Money	Trace Adkins
Just Like Me	Jamie Foxx Featuring T.I.
Where I'm From	Jason Michael Carroll
