3	Britney Spears
Down	Jay Sean Featuring Lil Wayne
Party In The U.S.A.	Miley Cyrus
Whatcha Say	Jason Derulo
Run This Town	Jay-Z, Rihanna & Kanye West
I Gotta Feeling	The Black Eyed Peas
Paparazzi	Lady Gaga
You Belong With Me	Taylor Swift
Fireflies	Owl City
Use Somebody	Kings Of Leon
Obsessed	Mariah Carey
Sweet Dreams	Beyonce
Empire State Of Mind	Jay-Z + Alicia Keys
Replay	Iyaz
Forever	Drake Featuring Kanye West, Lil Wayne & Eminem
One Less Lonely Girl	Justin Bieber
Meet Me Halfway	The Black Eyed Peas
Say Hey (I Love You)	Michael Franti & Spearhead Featuring Cherine Anderson
Already Gone	Kelly Clarkson
Cowboy Casanova	Carrie Underwood
One Time	Justin Bieber
Hotel Room Service	Pitbull
Break Up	Mario Featuring Gucci Mane & Sean Garrett
Need You Now	Lady Antebellum
Sexy Chick	David Guetta Featuring Akon
Throw It In The Bag	Fabolous Featuring The-Dream
Love Drunk	Boys Like Girls
Fallin' For You	Colbie Caillat
Toes	Zac Brown Band
It's My Life / Confessions Part II	Glee Cast
She Wolf	Shakira
Good Girls Go Bad	Cobra Starship Featuring Leighton Meester
Be On You	Flo Rida Featuring Ne-Yo
Successful	Drake Featuring Trey Songz & Lil Wayne
American Ride	Toby Keith
Knock You Down	Keri Hilson Featuring Kanye West & Ne-Yo
Best I Ever Had	Drake
Gettin' You Home	Chris Young
Evacuate The Dancefloor	Cascada
Halo / Walking On Sunshine	Glee Cast
Never Say Never	The Fray
Only You Can Love Me This Way	Keith Urban
Big Green Tractor	Jason Aldean
Battlefield	Jordin Sparks
Boom Boom Pow	The Black Eyed Peas
No Surprise	Daughtry
Wasted	Gucci Mane Featuring Plies Or OJ Da Juiceman
I Know You Want Me (Calle Ocho)	Pitbull
Drop It Low	Ester Dean Featuring Chris Brown
Please Don't Leave Me	P!nk
21 Guns	Green Day
I Can Transform Ya	Chris Brown Featuring Lil Wayne & Swizz Beatz
Do I	Luke Bryan
Hell Of A Life	T.I.
Imma Star (Everywhere We Are)	Jeremih
Welcome To The Future	Brad Paisley
I'm Alive	Kenny Chesney With Dave Matthews
All The Right Moves	OneRepublic
LOL :-)	Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em
Ice Cream Paint Job	Dorrough
Face Drop	Sean Kingston
Smile	Uncle Kracker
Small Town USA	Justin Moore
La La La	LMFAO
Doesn't Mean Anything	Alicia Keys
Funhouse	P!nk
I Want To Know What Love Is	Mariah Carey
Number One	R. Kelly Featuring Keri Hilson
God In Me	Mary Mary Featuring Kierra "KiKi" Sheard
Uprising	Muse
Body Language	Jesse McCartney Featuring T-Pain
Starstrukk	3OH!3 Featuring Katy Perry
I Will Not Bow	Breaking Benjamin
I'm Going In	Drake Featuring Lil Wayne & Young Jeezy
Runaway	Love And Theft
Somebody To Love	Glee Cast
Fifteen	Taylor Swift
Under	Pleasure P
TiK ToK	Ke$ha
Hey, Soul Sister	Train
Wheels	Foo Fighters
Red Light	David Nail
I Wanna Make You Close Your Eyes	Dierks Bentley
You're A Jerk	New Boyz
Love Your Love The Most	Eric Church
Consider Me Gone	Reba
Bonfire	Craig Morgan
Bad Habits	Maxwell
Break	Three Days Grace
Haven't Met You Yet	Michael Buble
Rain	Creed
Sounds Like Life To Me	Darryl Worley
The Fixer	Pearl Jam
Young Forever	Jay-Z + Mr. Hudson
Don't Stop Believin'	Glee Cast
I'm In Miami Trick	LMFAO
Honky Tonk Stomp	Brooks & Dunn Featuring Billy Gibbons
Shots	LMFAO Featuring Lil Jon
Check My Brain	Alice In Chains
Money To Blow	Birdman Featuring Lil Wayne & Drake
