Rude Boy	Rihanna
Nothin' On You	B.o.B Featuring Bruno Mars
Hey, Soul Sister	Train
Need You Now	Lady Antebellum
Telephone	Lady Gaga Featuring Beyonce
Break Your Heart	Taio Cruz Featuring Ludacris
Imma Be	The Black Eyed Peas
Baby	Justin Bieber Featuring Ludacris
In My Head	Jason Derulo
BedRock	Young Money Featuring Lloyd
Say Aah	Trey Songz Featuring Fabolous
TiK ToK	Ke$ha
Carry Out	Timbaland Featuring Justin Timberlake
OMG	Usher Featuring will.i.am
Breakeven	The Script
When I Look At You	Miley Cyrus
Bad Romance	Lady Gaga
My Chick Bad	Ludacris Featuring Nicki Minaj
All The Right Moves	OneRepublic
How Low	Ludacris
Young Forever	Jay-Z + Mr. Hudson
Blah Blah Blah	Ke$ha Featuring 3OH!3
Whataya Want From Me	Adam Lambert
Over	Drake
Hey Daddy (Daddy's Home)	Usher Featuring Plies
Live Like We're Dying	Kris Allen
Say Something	Timbaland Featuring Drake
According To You	Orianthi
I Made It (Cash Money Heroes)	Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne
Haven't Met You Yet	Michael Buble
Sexy Chick	David Guetta Featuring Akon
Your Love Is My Drug	Ke$ha
Eenie Meenie	Sean Kingston & Justin Bieber
Hello Good Morning	Diddy - Dirty Money Featuring T.I.
American Honey	Lady Antebellum
I Gotta Feeling	The Black Eyed Peas
Tie Me Down	New Boyz Featuring Ray J
Today Was A Fairytale	Taylor Swift
Replay	Iyaz
Naturally	Selena Gomez & The Scene
Heartbreak Warfare	John Mayer
Solo	Iyaz
Lil Freak	Usher Featuring Nicki Minaj
Highway 20 Ride	Zac Brown Band
I'm Awesome	Spose
Life After You	Daughtry
Empire State Of Mind	Jay-Z + Alicia Keys
Down	Jay Sean Featuring Lil Wayne
Gimmie That Girl	Joe Nichols
You Belong With Me	Taylor Swift
Everything To Me	Monica
Temporary Home	Carrie Underwood
A Little More Country Than That	Easton Corbin
Steady Mobbin'	Young Money Featuring Gucci Mane
Lemonade	Gucci Mane
Halfway Gone	Lifehouse
Bulletproof	La Roux
Neighbors Know My Name	Trey Songz
Someday	Rob Thomas
Hillbilly Bone	Blake Shelton Featuring Trace Adkins
I'm Back	T.I.
Drop The World	Lil Wayne Featuring Eminem
'Til Summer Comes Around	Keith Urban
Ain't Back Yet	Kenny Chesney
Sex Therapy	Robin Thicke
The Man I Want To Be	Chris Young
All I Do Is Win	DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross
All The Way Turnt Up	Roscoe Dash Featuring Soulja Boy Tell'em
Hard	Rihanna Featuring Jeezy
O Let's Do It	Waka Flocka Flame
Beamer, Benz, Or Bentley	Lloyd Banks Featuring Juelz Santana
Alejandro	Lady Gaga
On To The Next One	Jay-Z + Swizz Beatz
If We Ever Meet Again	Timbaland Featuring Katy Perry
Unstoppable	Rascal Flatts
Fearless	Taylor Swift
Hell On The Heart	Eric Church
Ridin' Solo	Jason Derulo
Rain Is A Good Thing	Luke Bryan
Roger That	Young Money
I Am	Mary J. Blige
Backwoods	Justin Moore
Keep On Lovin' You	Steel Magnolia
Pray For You	Jaron And The Long Road To Love
That's How Country Boys Roll	Billy Currington
Shots	LMFAO Featuring Lil Jon
Women Lie, Men Lie	Yo Gotti Featuring Lil Wayne
There Goes My Baby	Usher
The House That Built Me	Miranda Lambert
Try Sleeping With A Broken Heart	Alicia Keys
Wrong Baby Wrong	Martina McBride
Billionaire	Travie McCoy Featuring Bruno Mars
Just Breathe	Pearl Jam
One Day	Matisyahu
Window Seat	Erykah Badu
I Gotta Get To You	George Strait
I Never Told You	Colbie Caillat
It Kills Me	Melanie Fiona
She Won't Be Lonely Long	Clay Walker
Fistful Of Tears	Maxwell
