Nothin' On You	B.o.B Featuring Bruno Mars
Rude Boy	Rihanna
Break Your Heart	Taio Cruz Featuring Ludacris
Need You Now	Lady Antebellum
Hey, Soul Sister	Train
OMG	Usher Featuring will.i.am
In My Head	Jason Derulo
Your Love Is My Drug	Ke$ha
Airplanes	B.o.B Featuring Hayley Williams
Telephone	Lady Gaga Featuring Beyonce
My Chick Bad	Ludacris Featuring Nicki Minaj
Young Forever	Jay-Z + Mr. Hudson
Whataya Want From Me	Adam Lambert
Breakeven	The Script
Imma Be	The Black Eyed Peas
Over	Drake
TiK ToK	Ke$ha
Say Aah	Trey Songz Featuring Fabolous
Carry Out	Timbaland Featuring Justin Timberlake
Alejandro	Lady Gaga
Baby	Justin Bieber Featuring Ludacris
All The Right Moves	OneRepublic
I Made It (Cash Money Heroes)	Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne
BedRock	Young Money Featuring Lloyd
American Honey	Lady Antebellum
Eenie Meenie	Sean Kingston & Justin Bieber
Like A Prayer	Glee Cast Featuring Jonathan Groff
Bad Romance	Lady Gaga
Hey Daddy (Daddy's Home)	Usher Featuring Plies
The House That Built Me	Miranda Lambert
Haven't Met You Yet	Michael Buble
Solo	Iyaz
Live Like We're Dying	Kris Allen
Gimmie That Girl	Joe Nichols
Bulletproof	La Roux
Naturally	Selena Gomez & The Scene
Say Something	Timbaland Featuring Drake
I Gotta Feeling	The Black Eyed Peas
How Low	Ludacris
Lil Freak	Usher Featuring Nicki Minaj
Billionaire	Travie McCoy Featuring Bruno Mars
Winner	Jamie Foxx Featuring Justin Timberlake & T .I.
Sexy Chick	David Guetta Featuring Akon
Everything To Me	Monica
All I Do Is Win	DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross
Neighbors Know My Name	Trey Songz
If We Ever Meet Again	Timbaland Featuring Katy Perry
According To You	Orianthi
Not Myself Tonight	Christina Aguilera
Ain't Back Yet	Kenny Chesney
Highway 20 Ride	Zac Brown Band
Heartbreak Warfare	John Mayer
The Man I Want To Be	Chris Young
Rain Is A Good Thing	Luke Bryan
I'm Awesome	Spose
Beamer, Benz, Or Bentley	Lloyd Banks Featuring Juelz Santana
Pray For You	Jaron And The Long Road To Love
Un-Thinkable (I'm Ready)	Alicia Keys
Halfway Gone	Lifehouse
Blah Blah Blah	Ke$ha Featuring 3OH!3
Temporary Home	Carrie Underwood
I'm Back	T.I.
This Afternoon	Nickelback
Hello Good Morning	Diddy - Dirty Money Featuring T.I.
Today Was A Fairytale	Taylor Swift
Unstoppable	Rascal Flatts
Roger That	Young Money
When I Look At You	Miley Cyrus
Hell On The Heart	Eric Church
Steady Mobbin'	Young Money Featuring Gucci Mane
Hillbilly Bone	Blake Shelton Featuring Trace Adkins
Bet I	B.o.B Featuring T.I. & Playboy Tre
Keep On Lovin' You	Steel Magnolia
A Little More Country Than That	Easton Corbin
Drop The World	Lil Wayne Featuring Eminem
I Never Told You	Colbie Caillat
Backwoods	Justin Moore
Borderline / Open Your Heart	Glee Cast
Crazy Town	Jason Aldean
There Goes My Baby	Usher
I Gotta Get To You	George Strait
'Til Summer Comes Around	Keith Urban
She Won't Be Lonely Long	Clay Walker
Water	Brad Paisley
Wrong Baby Wrong	Martina McBride
Lemonade	Gucci Mane
Like A Virgin	Glee Cast
Impossible	Shontelle
4 Minutes	Glee Cast
I Keep On Loving You	Reba
Still	Tim McGraw
Gives You Hell	Glee Cast
Ride	Ciara Featuring Ludacris
I Am	Mary J. Blige
Kissin U	Miranda Cosgrove
All I Ever Wanted	Kelly Clarkson
Give Me A Sign (Forever And Ever)	Breaking Benjamin
Love King	The-Dream
O Let's Do It	Waka Flocka Flame
Sex Therapy	Robin Thicke
