Raise Your Glass	P!nk
Firework	Katy Perry
Only Girl (In The World)	Rihanna
Just The Way You Are	Bruno Mars
What's My Name?	Rihanna Featuring Drake
We R Who We R	Ke$ha
Like A G6	Far*East Movement Featuring Cataracs & Dev
Just A Dream	Nelly
The Time (Dirty Bit)	The Black Eyed Peas
Grenade	Bruno Mars
Bottoms Up	Trey Songz Featuring Nicki Minaj
DJ Got Us Fallin' In Love	Usher Featuring Pitbull
Dynamite	Taio Cruz
Teenage Dream	Katy Perry
Animal	Neon Trees
Please Don't Go	Mike Posner
F**k You! (Forget You)	CeeLo Green
Tonight (I'm Lovin' You)	Enrique Iglesias Featuring Ludacris & DJ Frank E
Black And Yellow	Wiz Khalifa
I Like It	Enrique Iglesias Featuring Pitbull
Club Can't Handle Me	Flo Rida Featuring David Guetta
No Hands	Waka Flocka Flame Featuring Roscoe Dash & Wale
Whip My Hair	WILLOW
If I Die Young	The Band Perry
Secrets	OneRepublic
Stereo Love	Edward Maya & Vika Jigulina
Love Like Woe	The Ready Set
Right Above It	Lil Wayne Featuring Drake
Deuces	Chris Brown Featuring Tyga & Kevin McCall
Stuck Like Glue	Sugarland
Right Thru Me	Nicki Minaj
Marry You	Glee Cast
Love The Way You Lie	Eminem Featuring Rihanna
Kush	Dr. Dre Featuring Snoop Dogg & Akon
Forget You	Glee Cast Featuring Gwyneth Paltrow
As She's Walking Away	Zac Brown Band Featuring Alan Jackson
Mine	Taylor Swift
Aston Martin Music	Rick Ross Featuring Drake & Chrisette Michele
Yeah 3X	Chris Brown
Just The Way You Are	Glee Cast
No Love	Eminem Featuring Lil Wayne
Runaway	Kanye West Featuring Pusha T
Hey Baby (Drop It To The Floor)	Pitbull Featuring T-Pain
We No Speak Americano	Yolanda Be Cool & Dcup
Felt Good On My Lips	Tim McGraw
My Kinda Party	Jason Aldean
Back To December	Taylor Swift
Can't Be Friends	Trey Songz
Somewhere With You	Kenny Chesney
Hold My Hand	Michael Jackson Duet With Akon
Memories	David Guetta Featuring Kid Cudi
Letting Go (Dutty Love)	Sean Kingston Featuring Nicki Minaj
Why Wait	Rascal Flatts
Anything Like Me	Brad Paisley
Shake	Jesse McCartney
Singing In The Rain / Umbrella	Glee Cast Featuring Gwyneth Paltrow
Take It Off	Ke$ha
Dog Days Are Over	Florence + The Machine
Mama's Song	Carrie Underwood
Dark Fantasy	Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver
Coming Home	Diddy - Dirty Money Featuring Skylar Grey
Put You In A Song	Keith Urban
Only Prettier	Miranda Lambert
Turn On The Radio	Reba
Jar Of Hearts	Christina Perri
Check It Out	will.i.am & Nicki Minaj
The Breath You Take	George Strait
Rhythm of Love	Plain White T's
September	Daughtry
Show Me How You Burlesque	Christina Aguilera
Who Are You When I'm Not Looking	Blake Shelton
Pretty Girl Rock	Keri Hilson
Who's That Chick?	David Guetta Featuring Rihanna
Lay It Down	Lloyd
Fancy	Drake Featuring T.I. & Swizz Beatz
Fly	Nicki Minaj Featuring Rihanna
Little Lion Man	Mumford & Sons
Someone Else Calling You Baby	Luke Bryan
Hot Tottie	Usher Featuring Jay-Z
Teenage Dream	Glee Cast
Voices	Chris Young
Down On Me	Jeremih Featuring 50 Cent
Smoke A Little Smoke	Eric Church
Hello World	Lady Antebellum
Come Back Song	Darius Rucker
Marry Me	Train
One In A Million	Ne-Yo
Waiting For The End	Linkin Park
All I Want Is You	Miguel Featuring J. Cole
Loca	Shakira Featuring El Cata or Dizzee Rascal
Marry You	Bruno Mars
All Of The Lights	Kanye West
Crazy Beautiful Life	Ke$ha
Bullets In The Gun	Toby Keith
Don't You Wanna Stay	Jason Aldean With Kelly Clarkson
Make A Movie	Twista Featuring Chris Brown
Let Me Down Easy	Billy Currington
The Boys of Fall	Kenny Chesney
Bon, Bon	Pitbull
Maybe	Sick Puppies
