Born This Way	Lady Gaga
E.T.	Katy Perry Featuring Kanye West
S&M	Rihanna Featuring Britney Spears
F**k You! (Forget You)	CeeLo Green
Just Can't Get Enough	The Black Eyed Peas
Loser Like Me	Glee Cast
F**kin' Perfect	P!nk
Look At Me Now	Chris Brown Featuring Lil Wayne & Busta Rhymes
Grenade	Bruno Mars
Down On Me	Jeremih Featuring 50 Cent
Blow	Ke$ha
Tonight (I'm Lovin' You)	Enrique Iglesias Featuring Ludacris & DJ Frank E
On The Floor	Jennifer Lopez Featuring Pitbull
Coming Home	Diddy - Dirty Money Featuring Skylar Grey
Firework	Katy Perry
Get It Right	Glee Cast
Hey Baby (Drop It To The Floor)	Pitbull Featuring T-Pain
Moment 4 Life	Nicki Minaj Featuring Drake
Jar Of Hearts	Christina Perri
More	Usher
What The Hell	Avril Lavigne
I Need A Doctor	Dr. Dre Featuring Eminem & Skylar Grey
Till The World Ends	Britney Spears Featuring Nicki Minaj & Ke$ha
Who Says	Selena Gomez & The Scene
All Of The Lights	Kanye West
Rolling In The Deep	Adele
Pretty Girl Rock	Keri Hilson
6 Foot 7 Foot	Lil Wayne Featuring Cory Gunz
Raise Your Glass	P!nk
Just The Way You Are	Bruno Mars
The Show Goes On	Lupe Fiasco
Are You Gonna Kiss Me Or Not	Thompson Square
Rocketeer	Far*East Movement Featuring Ryan Tedder
Black And Yellow	Wiz Khalifa
Marry Me	Train
Raise Your Glass	Glee Cast
Blackbird	Glee Cast
Colder Weather	Zac Brown Band
Written In The Stars	Tinie Tempah Featuring Eric Turner
Don't You Wanna Stay	Jason Aldean With Kelly Clarkson
Yeah 3X	Chris Brown
Stereo Love	Edward Maya & Vika Jigulina
Hold It Against Me	Britney Spears
No Hands	Waka Flocka Flame Featuring Roscoe Dash & Wale
Roll Up	Wiz Khalifa
What's My Name?	Rihanna Featuring Drake
Dynamite	Taio Cruz
Backseat	New Boyz Featuring The Cataracs & Dev
Let Me Down Easy	Billy Currington
For The First Time	The Script
Bow Chicka Wow Wow	Mike Posner Featuring Lil Wayne
Misery	Glee Cast
Hell To The No	Glee Cast
Price Tag	Jessie J Featuring B.o.B
The Lazy Song	Bruno Mars
A Little Bit Stronger	Sara Evans
Never Say Never	Justin Bieber Featuring Jaden Smith
I Won't Let Go	Rascal Flatts
What Do You Want	Jerrod Niemann
This	Darius Rucker
The Cave	Mumford & Sons
Hello World	Lady Antebellum
Love Faces	Trey Songz
The Time (Dirty Bit)	The Black Eyed Peas
Heart Like Mine	Miranda Lambert
You Lie	The Band Perry
Did It On'em	Nicki Minaj
You Be Killin Em	Fabolous
Who Are You When I'm Not Looking	Blake Shelton
Landslide	Glee Cast Featuring Gwyneth Paltrow
Candles	Glee Cast
Friday	Rebecca Black
Somewhere With You	Kenny Chesney
Sing	My Chemical Romance
Fall For Your Type	Jamie Foxx Featuring Drake
Little Miss	Sugarland
This Is Country Music	Brad Paisley
Crazy Girl	Eli Young Band
Live A Little	Kenny Chesney
Bleed Red	Ronnie Dunn
Welcome To My Hood	DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain
From A Table Away	Sunny Sweeney
Without You	Keith Urban
Higher	Taio Cruz Featuring Travie McCoy
Felt Good On My Lips	Tim McGraw
Buzzin'	Mann
Sure Thing	Miguel
Bring It Back	Travis Porter
Where You At	Jennifer Hudson
Boom	Snoop Dogg Featuring T-Pain
No BS	Chris Brown
Far Away	Marsha Ambrosius
Grove St. Party	Waka Flocka Flame Featuring Kebo Gotti
Arms	Christina Perri
I Can't Love You Back	Easton Corbin
Tomorrow	Chris Young
Voices	Chris Young
I Smile	Kirk Franklin
Rope	Foo Fighters
Dancing Crazy	Miranda Cosgrove
