Rolling In The Deep	Adele
Give Me Everything	Pitbull Featuring Ne-Yo, Afrojack & Nayer
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
E.T.	Katy Perry Featuring Kanye West
The Lazy Song	Bruno Mars
The Edge Of Glory	Lady Gaga
On The Floor	Jennifer Lopez Featuring Pitbull
Just Can't Get Enough	The Black Eyed Peas
Dirt Road Anthem	Jason Aldean
Super Bass	Nicki Minaj
The Show Goes On	Lupe Fiasco
Till The World Ends	Britney Spears Featuring Nicki Minaj & Ke$ha
How To Love	Lil Wayne
Every Teardrop Is A Waterfall	Coldplay
Look At Me Now	Chris Brown Featuring Lil Wayne & Busta Rhymes
Roll Up	Wiz Khalifa
I'm On One	DJ Khaled Featuring Drake, Rick Ross & Lil Wayne
Don't Wanna Go Home	Jason Derulo
Blow	Ke$ha
Good Life	OneRepublic
Honey Bee	Blake Shelton
Tonight Tonight	Hot Chelle Rae
Motivation	Kelly Rowland Featuring Lil Wayne
Just A Kiss	Lady Antebellum
Down On Me	Jeremih Featuring 50 Cent
F**k You! (Forget You)	CeeLo Green
Who Says	Selena Gomez & The Scene
Country Girl (Shake It For Me)	Luke Bryan
Knee Deep	Zac Brown Band Featuring Jimmy Buffett
S&M	Rihanna Featuring Britney Spears
Last Friday Night (T.G.I.F.)	Katy Perry
Written In The Stars	Tinie Tempah Featuring Eric Turner
F**kin' Perfect	P!nk
Price Tag	Jessie J Featuring B.o.B
For The First Time	The Script
Monster	Paramore
Mean	Taylor Swift
All Of The Lights	Kanye West
She Ain't You	Chris Brown
Firework	Katy Perry
Sure Thing	Miguel
You Lie	The Band Perry
My Last	Big Sean Featuring Chris Brown
Just The Way You Are	Bruno Mars
Tomorrow	Chris Young
If I Die Young	The Band Perry
Dirty Dancer	Enrique Iglesias With Usher Featuring Lil Wayne
Hello	Martin Solveig & Dragonette
Born This Way	Lady Gaga
Backseat	New Boyz Featuring The Cataracs & Dev
Barefoot Blue Jean Night	Jake Owen
Best Love Song	T-Pain Featuring Chris Brown
Old Alabama	Brad Paisley Featuring Alabama
Without You	Keith Urban
If Heaven Wasn't So Far Away	Justin Moore
I Won't Let Go	Rascal Flatts
You And Tequila	Kenny Chesney Featuring Grace Potter
Where Them Girls At	David Guetta Featuring Flo Rida & Nicki Minaj
Remind Me	Brad Paisley Duet With Carrie Underwood
California King Bed	Rihanna
Racks	YC Featuring Future
Homeboy	Eric Church
Man Down	Rihanna
Run The World (Girls)	Beyonce
Never Gonna Leave This Bed	Maroon 5
The Story Of Us	Taylor Swift
Am I The Only One	Dierks Bentley
I Love You This Big	Scotty McCreery
Crazy Girl	Eli Young Band
Out Of My Head	Lupe Fiasco Featuring Trey Songz
I Need A Doctor	Dr. Dre Featuring Eminem & Skylar Grey
Pumped Up Kicks	Foster The People
Pause	Pitbull
Bleed Red	Ronnie Dunn
Best Thing I Never Had	Beyonce
John	Lil Wayne Featuring Rick Ross
Heart Like Mine	Miranda Lambert
Heartless	Dia Frampton
Hustle Hard	Ace Hood
Right There	Nicole Scherzinger Featuring 50 Cent
Country Song	Seether
Far Away	Marsha Ambrosius
Take A Back Road	Rodney Atkins
The Cave	Mumford & Sons
Keep Your Head Up	Andy Grammer
Best Friend's Brother	Victorious Cast Featuring Victoria Justice
Unusual	Trey Songz Featuring Drake
I'm Into You	Jennifer Lopez Featuring Lil Wayne
Just Fishin'	Trace Adkins
I Smile	Kirk Franklin
Somewhere Else	Toby Keith
Judas	Lady Gaga
Bow Chicka Wow Wow	Mike Posner Featuring Lil Wayne
Bang Bang Bang	Selena Gomez & The Scene
Made In America	Toby Keith
Not Over You	Gavin DeGraw
You	Romeo Santos
Did It On'em	Nicki Minaj
Donald Trump	Mac Miller
Teenage Daughters	Martina McBride
