Last Friday Night (T.G.I.F.)	Katy Perry
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
Moves Like Jagger	Maroon 5 Featuring Christina Aguilera
Super Bass	Nicki Minaj
Lighters	Bad Meets Evil Featuring Bruno Mars
How To Love	Lil Wayne
Give Me Everything	Pitbull Featuring Ne-Yo, Afrojack & Nayer
Pumped Up Kicks	Foster The People
I Wanna Go	Britney Spears
Good Life	OneRepublic
Tonight Tonight	Hot Chelle Rae
Rolling In The Deep	Adele
Headlines	Drake
The Edge Of Glory	Lady Gaga
If I Die Young	The Band Perry
I'm On One	DJ Khaled Featuring Drake, Rick Ross & Lil Wayne
Remind Me	Brad Paisley Duet With Carrie Underwood
Best Thing I Never Had	Beyonce
Stereo Hearts	Gym Class Heroes Featuring Adam Levine
Dirt Road Anthem	Jason Aldean
Knee Deep	Zac Brown Band Featuring Jimmy Buffett
Motivation	Kelly Rowland Featuring Lil Wayne
You Make Me Feel...	Cobra Starship Featuring Sabi
Just A Kiss	Lady Antebellum
Cheers (Drink To That)	Rihanna
Barefoot Blue Jean Night	Jake Owen
Country Girl (Shake It For Me)	Luke Bryan
Where Them Girls At	David Guetta Featuring Flo Rida & Nicki Minaj
Just Can't Get Enough	The Black Eyed Peas
Rain Over Me	Pitbull Featuring Marc Anthony
She Ain't You	Chris Brown
E.T.	Katy Perry Featuring Kanye West
You And Tequila	Kenny Chesney Featuring Grace Potter
The Lazy Song	Bruno Mars
Every Teardrop Is A Waterfall	Coldplay
Otis	Jay Z Kanye West Featuring Otis Redding
On The Floor	Jennifer Lopez Featuring Pitbull
Honey Bee	Blake Shelton
It Girl	Jason Derulo
Marvins Room	Drake
The Show Goes On	Lupe Fiasco
Am I The Only One	Dierks Bentley
Out Of My Head	Lupe Fiasco Featuring Trey Songz
Who Gon Stop Me	Jay Z Kanye West
God Gave Me You	Blake Shelton
I'm Into You	Jennifer Lopez Featuring Lil Wayne
Take A Back Road	Rodney Atkins
Till The World Ends	Britney Spears Featuring Nicki Minaj & Ke$ha
Sure Thing	Miguel
My Last	Big Sean Featuring Chris Brown
Someone Like You	Adele
Take Over Control	Afrojack Featuring Eva Simons
Mr. Saxobeat	Alexandra Stan
Made In America	Toby Keith
Love You Like A Love Song	Selena Gomez & The Scene
Marvin & Chardonnay	Big Sean Featuring Kanye West & Roscoe Dash
Don't Wanna Go Home	Jason Derulo
Keep Your Head Up	Andy Grammer
I Love You This Big	Scotty McCreery
Long Hot Summer	Keith Urban
Love Done Gone	Billy Currington
Better With The Lights Off	New Boyz Feat. Chris Brown
Pretty Girls	Iyaz Featuring Travie McCoy
Hello	Martin Solveig & Dragonette
Just Fishin'	Trace Adkins
Titanium	David Guetta Featuring Sia
Baggage Claim	Miranda Lambert
What You Want	Evanescence
Quickie	Miguel
In The Dark	Dev
Here For A Good Time	George Strait
Never Gonna Leave This Bed	Maroon 5
Smile	Avril Lavigne
Country Must Be Country Wide	Brantley Gilbert
Ni**as in Paris	Jay Z Kanye West
Easy	Rascal Flatts Featuring Natasha Bedingfield
Man Down	Rihanna
We Don't Get Down Like Y'all	T.I. Featuring B.o.B.
Drunk On You	Luke Bryan
The Adventures Of Rain Dance Maggie	Red Hot Chili Peppers
California King Bed	Rihanna
Skyscraper	Demi Lovato
Gucci Gucci	Kreayshawn
Sparks Fly	Taylor Swift
Save Me, San Francisco	Train
Don't Stop The Party	The Black Eyed Peas
Faster	Matt Nathanson
On My Level	Wiz Khalifa Featuring Too $hort
Nothing	The Script
Till I'm Gone	Tinie Tempah Featuring Wiz Khalifa
Unusual	Trey Songz Featuring Drake
Walk	Foo Fighters
Booty Wurk (One Cheek At A Time)	T-Pain Featuring Joey Galaxy
Fish	Craig Campbell
One More Drinkin' Song	Jerrod Niemann
You And I	Lady Gaga
Mrs. Right	Mindless Behavior Featuring Diggy
No Sleep	Wiz Khalifa
Rumour Has It	Adele
Old Alabama	Brad Paisley Featuring Alabama
