We Found Love	Rihanna Featuring Calvin Harris
Sexy And I Know It	LMFAO
It Will Rain	Bruno Mars
Good Feeling	Flo Rida
The One That Got Away	Katy Perry
Ni**as in Paris	Jay Z Kanye West
Someone Like You	Adele
Without You	David Guetta Featuring Usher
Moves Like Jagger	Maroon 5 Featuring Christina Aguilera
5 O'Clock	T-Pain Featuring Wiz Khalifa & Lily Allen
Stereo Hearts	Gym Class Heroes Featuring Adam Levine
Dance (A$$)	Big Sean Featuring Nicki Minaj
Set Fire To The Rain	Adele
Work Out	J. Cole
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
Headlines	Drake
Red Solo Cup	Toby Keith
Young, Wild & Free	Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
Pumped Up Kicks	Foster The People
You Make Me Feel...	Cobra Starship Featuring Sabi
Mr. Know It All	Kelly Clarkson
Not Over You	Gavin DeGraw
I Don't Want This Night To End	Luke Bryan
Make Me Proud	Drake Featuring Nicki Minaj
You Da One	Rihanna
Love You Like A Love Song	Selena Gomez & The Scene
Give Me Everything	Pitbull Featuring Ne-Yo, Afrojack & Nayer
Domino	Jessie J
The Motto	Drake Featuring Lil Wayne
International Love	Pitbull Featuring Chris Brown
Just A Kiss	Lady Antebellum
Mistletoe	Justin Bieber
Marry The Night	Lady Gaga
Super Bass	Nicki Minaj
She Will	Lil Wayne Featuring Drake
Keep Me In Mind	Zac Brown Band
Sleazy Remix 2.0 Get Sleazier	Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000
Lotus Flower Bomb	Wale Featuring Miguel
Paradise	Coldplay
In The Dark	Dev
Rolling In The Deep	Adele
Tattoos On This Town	Jason Aldean
Easy	Rascal Flatts Featuring Natasha Bedingfield
I Like It Like That	Hot Chelle Rae Featuring New Boyz
Drink In My Hand	Eric Church
Fly	Nicki Minaj Featuring Rihanna
Ours	Taylor Swift
God Gave Me You	Blake Shelton
Blackout	Breathe Carolina
We Owned The Night	Lady Antebellum
Let It Rain	David Nail Featuring Sarah Buxton
You	Chris Young
All Your Life	The Band Perry
It Girl	Jason Derulo
Strange Clouds	B.o.B Featuring Lil Wayne
Rack City	Tyga
Party	Beyonce Featuring Andre 3000
Take Care	Drake Featuring Rihanna
We Are Young	Glee Cast
A Thousand Years	Christina Perri
Tonight Is The Night	Outasight
You And I	Lady Gaga
Heartbeat	The Fray
Brighter Than The Sun	Colbie Caillat
Can't Get Enough	J. Cole Featuring Trey Songz
When We Stand Together	Nickelback
You The Boss	Rick Ross Featuring Nicki Minaj
Turn Me On	David Guetta Featuring Nicki Minaj
Lonely Boy	The Black Keys
Baggage Claim	Miranda Lambert
I'm Gonna Love You Through It	Martina McBride
Alone With You	Jake Owen
That Way	Wale Featuring Jeremih & Rick Ross
Home	Dierks Bentley
Bang Bang Pow Pow	T-Pain Featuring Lil Wayne
Reality	Kenny Chesney
Levels	Avicii
We Are Young	fun. Featuring Janelle Monae
You Gonna Fly	Keith Urban
Wish You Were Here	Avril Lavigne
Better Than I Used To Be	Tim McGraw
Shake It Out	Florence + The Machine
Bait A Hook	Justin Moore
The Trouble With Girls	Scotty McCreery
Storm Warning	Hunter Hayes
Round Of Applause	Waka Flocka Flame Featuring Drake
Nothing	The Script
Camouflage	Brad Paisley
Sail	AWOLNATION
Amen	Edens Edge
Countdown	Beyonce
Do They Know It's Christmas?	Glee Cast
Tongue Tied	Grouplove
Love On Top	Beyonce
I Got You	Thompson Square
A Woman Like You	Lee Brice
Promise	Romeo Santos Featuring Usher
Good Good Night	Roscoe Dash
All I Want For Christmas Is You	Michael Buble
Ass Back Home	Gym Class Heroes Featuring Neon Hitch
