We Are Young	fun. Featuring Janelle Monae
Stronger (What Doesn't Kill You)	Kelly Clarkson
Glad You Came	The Wanted
Set Fire To The Rain	Adele
Somebody That I Used To Know	Gotye Featuring Kimbra
Starships	Nicki Minaj
Turn Me On	David Guetta Featuring Nicki Minaj
Take Care	Drake Featuring Rihanna
Wild Ones	Flo Rida Featuring Sia
Part Of Me	Katy Perry
Young, Wild & Free	Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
We Found Love	Rihanna Featuring Calvin Harris
Ass Back Home	Gym Class Heroes Featuring Neon Hitch
Rack City	Tyga
Drive By	Train
International Love	Pitbull Featuring Chris Brown
Good Feeling	Flo Rida
Feel So Close	Calvin Harris
What Makes You Beautiful	One Direction
Domino	Jessie J
The Motto	Drake Featuring Lil Wayne
Sexy And I Know It	LMFAO
Call Me Maybe	Carly Rae Jepsen
It Will Rain	Bruno Mars
Turn Up The Music	Chris Brown
Ni**as in Paris	Jay Z Kanye West
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
Moves Like Jagger	Maroon 5 Featuring Christina Aguilera
Not Over You	Gavin DeGraw
Good Girl	Carrie Underwood
Someone Like You	Adele
Talk That Talk	Rihanna Featuring Jay-Z
Rolling In The Deep	Adele
Paradise	Coldplay
A Thousand Years	Christina Perri
The One That Got Away	Katy Perry
Strip	Chris Brown Featuring Kevin K-MAC McCall
A Woman Like You	Lee Brice
Birthday Cake	Rihanna Featuring Chris Brown
Without You	David Guetta Featuring Usher
Ours	Taylor Swift
Alone With You	Jake Owen
Tonight Is The Night	Outasight
Over You	Miranda Lambert
Climax	Usher
Dance (A$$)	Big Sean Featuring Nicki Minaj
So Good	B.o.B
Love On Top	Beyonce
Drink On It	Blake Shelton
Rumour Has It	Adele
I Won't Give Up	Jason Mraz
Dancin' Away With My Heart	Lady Antebellum
Springsteen	Eric Church
Can't Get Enough	J. Cole Featuring Trey Songz
Fly Over States	Jason Aldean
Somethin' 'Bout A Truck	Kip Moore
Ayy Ladies	Travis Porter Featuring Tyga
Drank In My Cup	Kirko Bangz
Home	Dierks Bentley
Brokenhearted	Karmin
Love's Gonna Make It Alright	George Strait
Banjo	Rascal Flatts
Better Than I Used To Be	Tim McGraw
UP!	LoveRance Featuring IamSu & Skipper or 50 Cent
Lights	Ellie Goulding
Princess Of China	Coldplay Featuring Rihanna
Levels	Avicii
You Gonna Fly	Keith Urban
Drunk On You	Luke Bryan
Faded	Tyga Featuring Lil Wayne
Safe & Sound	Taylor Swift Featuring The Civil Wars
Shake It Out	Florence + The Machine
Changed	Rascal Flatts
Everybody Talks	Neon Trees
Bangarang	Skrillex Featuring Sirah
Some Nights	fun.
Where I Come From	Montgomery Gentry
Midnight City	M83.
Magic	Future Featuring T.I.
Sorry For Party Rocking	LMFAO
You Da One	Rihanna
Reality	Kenny Chesney
You Don't Know Her Like I Do	Brantley Gilbert
Mirror	Lil Wayne Featuring Bruno Mars
Lonely Boy	The Black Keys
Scary Monsters And Nice Sprites	Skrillex
4 AM	Melanie Fiona
Do It Like You	Diggy Featuring Jeremih
No Hurry	Zac Brown Band
One Thing	One Direction
Even If It Breaks Your Heart	Eli Young Band
Sex Ain't Better Than Love	Trey Songz
Mr. Wrong	Mary J. Blige Featuring Drake
Gotta Have It	Jay Z Kanye West
Leave You Alone	Young Jeezy Featuring Ne-Yo
Blackout	Breathe Carolina
Don't Stop (Color On The Walls)	Foster The People
TTYLXOX	Bella Thorne
I Do	Young Jeezy Featuring Jay-Z & Andre 3000
HYFR (Hell Ya F*****g Right)	Drake Featuring Lil Wayne
