Call Me Maybe	Carly Rae Jepsen
Payphone	Maroon 5 Featuring Wiz Khalifa
Somebody That I Used To Know	Gotye Featuring Kimbra
Wide Awake	Katy Perry
Lights	Ellie Goulding
Where Have You Been	Rihanna
Titanium	David Guetta Featuring Sia
We Are Young	fun. Featuring Janelle Monae
Starships	Nicki Minaj
Scream	Usher
Wild Ones	Flo Rida Featuring Sia
Whistle	Flo Rida
What Makes You Beautiful	One Direction
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Glad You Came	The Wanted
Boyfriend	Justin Bieber
Good Time	Owl City & Carly Rae Jepsen
Everybody Talks	Neon Trees
Give Your Heart A Break	Demi Lovato
Drunk On You	Luke Bryan
Drive By	Train
Back In Time	Pitbull
Come Over	Kenny Chesney
I Won't Give Up	Jason Mraz
The Fighter	Gym Class Heroes Featuring Ryan Tedder
Let's Go	Calvin Harris Featuring Ne-Yo
Want U Back	Cher Lloyd
Some Nights	fun.
Springsteen	Eric Church
Stronger (What Doesn't Kill You)	Kelly Clarkson
Feel So Close	Calvin Harris
Brokenhearted	Karmin
Even If It Breaks Your Heart	Eli Young Band
Work Hard, Play Hard	Wiz Khalifa
No Lie	2 Chainz Featuring Drake
Cashin' Out	Ca$h Out
5-1-5-0	Dierks Bentley
Pontoon	Little Big Town
One Thing	One Direction
We Run The Night	Havana Brown Featuring Pitbull
Part Of Me	Katy Perry
The Motto	Drake Featuring Lil Wayne
(Kissed You) Good Night	Gloriana
Heart Attack	Trey Songz
Drank In My Cup	Kirko Bangz
Burn It Down	Linkin Park
Both Of Us	B.o.B Featuring Taylor Swift
Take Care	Drake Featuring Rihanna
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
Lemme See	Usher Featuring Rick Ross
Wanted	Hunter Hayes
Climax	Usher
You Don't Know Her Like I Do	Brantley Gilbert
Angel Eyes	Love And Theft
Beers Ago	Toby Keith
Tongue Tied	Grouplove
Blow Me (One Last Kiss)	P!nk
Too Close	Alex Clare
Take It To The Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Nobody's Perfect	J. Cole Featuring Missy Elliott
Leave You Alone	Young Jeezy Featuring Ne-Yo
Good Girl	Carrie Underwood
Over	Blake Shelton
Postcard From Paris	The Band Perry
Little Talks	Of Monsters And Men
For You	Keith Urban
How We Do (Party)	Rita Ora
Truck Yeah	Tim McGraw
Chasing The Sun	The Wanted
Time Is Love	Josh Turner
The Wind	Zac Brown Band
Ho Hey	The Lumineers
HYFR (Hell Ya F*****g Right)	Drake Featuring Lil Wayne
Dark Side	Kelly Clarkson
Why Ya Wanna	Jana Kramer
Cowboys And Angels	Dustin Lynch
I Wish You Would	DJ Khaled Featuring Kanye West & Rick Ross
Fly Over States	Jason Aldean
Birthday Cake	Rihanna Featuring Chris Brown
Bag Of Money	Wale Featuring Rick Ross, Meek Mill & T-Pain
As Long As You Love Me	Justin Bieber Featuring Big Sean
One More Night	Maroon 5
Midnight City	M83.
Hard To Love	Lee Brice
Snap Backs & Tattoos	Driicky Graham
Dance Again	Jennifer Lopez Featuring Pitbull
Don't Wake Me Up	Chris Brown
Crew Love	Drake Featuring The Weeknd
She's So Mean	matchbox twenty
It's Time	Imagine Dragons
My Homies Still	Lil Wayne Featuring Big Sean
Bangarang	Skrillex Featuring Sirah
Amen	Meek Mill Featuring Drake
Right By My Side	Nicki Minaj Featuring Chris Brown
Glass	Thompson Square
2 Reasons	Trey Songz Featuring T.I.
UP!	LoveRance Featuring IamSu & Skipper or 50 Cent
Get It Started	Pitbull Featuring Shakira
Ayy Ladies	Travis Porter Featuring Tyga
