One More Night	Maroon 5
Gangnam Style	PSY
Some Nights	fun.
We Are Never Ever Getting Back Together	Taylor Swift
Die Young	Ke$ha
As Long As You Love Me	Justin Bieber Featuring Big Sean
Too Close	Alex Clare
Diamonds	Rihanna
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Blow Me (One Last Kiss)	P!nk
Don't Wake Me Up	Chris Brown
Good Time	Owl City & Carly Rae Jepsen
State Of Grace	Taylor Swift
Lights	Ellie Goulding
Locked Out Of Heaven	Bruno Mars
Everybody Talks	Neon Trees
Home	Phillip Phillips
Clique	Kanye West, Jay-Z, Big Sean
Whistle	Flo Rida
50 Ways To Say Goodbye	Train
Blown Away	Carrie Underwood
Adorn	Miguel
I Knew You Were Trouble.	Taylor Swift
I Cry	Flo Rida
Call Me Maybe	Carly Rae Jepsen
Somebody That I Used To Know	Gotye Featuring Kimbra
Ho Hey	The Lumineers
Wide Awake	Katy Perry
Cruise	Florida Georgia Line Featuring Nelly
Titanium	David Guetta Featuring Sia
Live While We're Young	One Direction
Payphone	Maroon 5 Featuring Wiz Khalifa
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
I Will Wait	Mumford & Sons
It's Time	Imagine Dragons
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Wanted	Hunter Hayes
Give Your Heart A Break	Demi Lovato
Hard To Love	Lee Brice
The A Team	Ed Sheeran
Kiss Tomorrow Goodbye	Luke Bryan
No Lie	2 Chainz Featuring Drake
I Won't Give Up	Jason Mraz
Skyfall	Adele
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
Girl On Fire	Alicia Keys Featuring Nicki Minaj
2 Reasons	Trey Songz Featuring T.I.
Birthday Song	2 Chainz Featuring Kanye West
Ball	T.I. Featuring Lil Wayne
Pound The Alarm	Nicki Minaj
Thinkin Bout You	Frank Ocean
Turn On The Lights	Future
Catch My Breath	Kelly Clarkson
Swimming Pools (Drank)	Kendrick Lamar
Feel Again	OneRepublic
The One That Got Away	Jake Owen
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
Your Body	Christina Aguilera
Fastest Girl In Town	Miranda Lambert
Lovin' You Is Fun	Easton Corbin
Come Wake Me Up	Rascal Flatts
Take A Little Ride	Jason Aldean
Anything Could Happen	Ellie Goulding
Put It Down	Brandy Featuring Chris Brown
Madness	Muse
Beer Money	Kip Moore
Want U Back	Cher Lloyd
Numb	Usher
Hall Of Fame	The Script Featuring will.i.am
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
No Worries	Lil Wayne Featuring Detail
Creepin'	Eric Church
Pontoon	Little Big Town
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Til My Last Day	Justin Moore
Red	Taylor Swift
Begin Again	Taylor Swift
Dance For You	Beyonce
Truck Yeah	Tim McGraw
Dive In	Trey Songz
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
Babel	Mumford & Sons
Southern Comfort Zone	Brad Paisley
Take A Walk	Passion Pit
How Country Feels	Randy Houser
Diced Pineapples	Rick Ross Featuring Wale & Drake
Did It For The Girl	Greg Bates
Every Storm (Runs Out Of Rain)	Gary Allan
El Cerrito Place	Kenny Chesney
Goodbye In Her Eyes	Zac Brown Band
Night Train	Jason Aldean
Radioactive	Imagine Dragons
She's So Mean	matchbox twenty
My Moment	DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih
Sweet Nothing	Calvin Harris Featuring Florence Welch
Hello	Karmin
Ready Or Not	Bridgit Mendler
Amen	Meek Mill Featuring Drake
Whispers In The Dark	Mumford & Sons
