Diamonds	Rihanna
Locked Out Of Heaven	Bruno Mars
Die Young	Ke$ha
One More Night	Maroon 5
Ho Hey	The Lumineers
Some Nights	fun.
Home	Phillip Phillips
I Cry	Flo Rida
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Gangnam Style	PSY
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Scream & Shout	will.i.am & Britney Spears
Too Close	Alex Clare
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
We Are Never Ever Getting Back Together	Taylor Swift
Cruise	Florida Georgia Line Featuring Nelly
Swimming Pools (Drank)	Kendrick Lamar
Clique	Kanye West, Jay-Z, Big Sean
Adorn	Miguel
Try	P!nk
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Don't Wake Me Up	Chris Brown
The A Team	Ed Sheeran
Va Va Voom	Nicki Minaj
It's Time	Imagine Dragons
As Long As You Love Me	Justin Bieber Featuring Big Sean
My Life	50 Cent Featuring Eminem & Adam Levine
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
Blow Me (One Last Kiss)	P!nk
Don't Stop The Party	Pitbull Featuring TJR
I Knew You Were Trouble.	Taylor Swift
Everybody Talks	Neon Trees
I Will Wait	Mumford & Sons
Thinkin Bout You	Frank Ocean
Feel Again	OneRepublic
Wanted	Hunter Hayes
Lights	Ellie Goulding
Good Time	Owl City & Carly Rae Jepsen
Hall Of Fame	The Script Featuring will.i.am
Call Me Maybe	Carly Rae Jepsen
No Worries	Lil Wayne Featuring Detail
Skyfall	Adele
Better Dig Two	The Band Perry
Little Talks	Of Monsters And Men
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Somebody That I Used To Know	Gotye Featuring Kimbra
Whistle	Flo Rida
Blown Away	Carrie Underwood
Kiss Tomorrow Goodbye	Luke Bryan
Goodbye In Her Eyes	Zac Brown Band
Til My Last Day	Justin Moore
Catch My Breath	Kelly Clarkson
The One That Got Away	Jake Owen
Every Storm (Runs Out Of Rain)	Gary Allan
Anything Could Happen	Ellie Goulding
Beer Money	Kip Moore
Sweet Nothing	Calvin Harris Featuring Florence Welch
F**kin Problems	A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
Birthday Song	2 Chainz Featuring Kanye West
Creepin'	Eric Church
Come Wake Me Up	Rascal Flatts
I'm Different	2 Chainz
How Country Feels	Randy Houser
The Only Way I Know	Jason Aldean With Luke Bryan & Eric Church
Madness	Muse
Little Things	One Direction
Did It For The Girl	Greg Bates
Wicked Games	The Weeknd
Live While We're Young	One Direction
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Radioactive	Imagine Dragons
Southern Comfort Zone	Brad Paisley
El Cerrito Place	Kenny Chesney
Ball	T.I. Featuring Lil Wayne
Diced Pineapples	Rick Ross Featuring Wale & Drake
Begin Again	Taylor Swift
Tornado	Little Big Town
Fastest Girl In Town	Miranda Lambert
Turn On The Lights	Future
Don't Judge Me	Chris Brown
Remember You	Wiz Khalifa Featuring The Weeknd
Rest Of My Life	Ludacris Featuring Usher & David Guetta
Poetic Justice	Kendrick Lamar Featuring Drake
Take A Little Ride	Jason Aldean
Somebody's Heartbreak	Hunter Hayes
Ready Or Not	Bridgit Mendler
Ice	Kelly Rowland Featuring Lil Wayne
Young & Gettin' It	Meek Mill Featuring Kirko Bangz
Celebration	Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne
Tip It On Back	Dierks Bentley
Dance For You	Beyonce
Take A Walk	Passion Pit
Too Close	Melanie Martinez
Are You Happy Now?	Cassadee Pope
One Of Those Nights	Tim McGraw
Representin'	Ludacris Featuring Kelly Rowland
A Thousand Years (Part 2)	Christina Perri Featuring Steve Kazee
Oath	Cher Lloyd Featuring Becky G
Give It All We Got Tonight	George Strait
