Harlem Shake	Baauer
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
When I Was Your Man	Bruno Mars
I Knew You Were Trouble.	Taylor Swift
Scream & Shout	will.i.am & Britney Spears
Started From The Bottom	Drake
Stay	Rihanna Featuring Mikky Ekko
Suit & Tie	Justin Timberlake Featuring JAY Z
Locked Out Of Heaven	Bruno Mars
Love Me	Lil Wayne Featuring Drake & Future
Ho Hey	The Lumineers
Don't You Worry Child	Swedish House Mafia Featuring John Martin
One Way Or Another (Teenage Kicks)	One Direction
Daylight	Maroon 5
F**kin Problems	A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Sweet Nothing	Calvin Harris Featuring Florence Welch
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
I Will Wait	Mumford & Sons
Try	P!nk
Pour It Up	Rihanna
Radioactive	Imagine Dragons
It's Time	Imagine Dragons
Catch My Breath	Kelly Clarkson
Diamonds	Rihanna
Little Talks	Of Monsters And Men
Gangnam Style	PSY
Feel This Moment	Pitbull Featuring Christina Aguilera
Home	Phillip Phillips
Carry On	fun.
Hall Of Fame	The Script Featuring will.i.am
Sure Be Cool If You Did	Blake Shelton
One More Night	Maroon 5
Poetic Justice	Kendrick Lamar Featuring Drake
C'mon	Ke$ha
Wanted	Hunter Hayes
Troublemaker	Olly Murs Featuring Flo Rida
Some Nights	fun.
Better Dig Two	The Band Perry
Adorn	Miguel
All Gold Everything	Trinidad James
Hey Porsche	Nelly
Swimming Pools (Drank)	Kendrick Lamar
One Of Those Nights	Tim McGraw
The A Team	Ed Sheeran
Kiss You	One Direction
Two Black Cadillacs	Carrie Underwood
I'm Different	2 Chainz
Sail	AWOLNATION
Die Young	Ke$ha
Tornado	Little Big Town
Neva End	Future
Downtown	Lady Antebellum
Wicked Games	The Weeknd
Loveeeeeee Song	Rihanna Featuring Future
My Songs Know What You Did In The Dark (Light Em Up)	Fall Out Boy
Somebody's Heartbreak	Hunter Hayes
I Drive Your Truck	Lee Brice
R.I.P.	Young Jeezy Featuring 2 Chainz
Mama's Broken Heart	Miranda Lambert
Skyfall	Adele
Bugatti	Ace Hood Featuring Future & Rick Ross
Merry Go 'round	Kacey Musgraves
Get Your Shine On	Florida Georgia Line
Don't Stop The Party	Pitbull Featuring TJR
The Only Way I Know	Jason Aldean With Luke Bryan & Eric Church
Tip It On Back	Dierks Bentley
Pirate Flag	Kenny Chesney
Who Booty	Jonn Hart Featuring IamSU!
Bad	Wale Featuring Tiara Thomas Or Rihanna
Give It All We Got Tonight	George Strait
Just Give Me A Reason	P!nk Featuring Nate Ruess
If I Didn't Have You	Thompson Square
I Love It	Icona Pop Featuring Charli XCX
Don't Judge Me	Chris Brown
Mirrors	Justin Timberlake
Battle Scars	Lupe Fiasco & Guy Sebastian
Remember You	Wiz Khalifa Featuring The Weeknd
Alive	Krewella
Ball	T.I. Featuring Lil Wayne
Love And War	Tamar Braxton
Little Things	One Direction
Love Sosa	Chief Keef
Stubborn Love	The Lumineers
Cups (Pitch Perfect's When I'm Gone)	Anna Kendrick
Dope	Tyga Featuring Rick Ross
Wagon Wheel	Darius Rucker
As Your Friend	Afrojack Featuring Chris Brown
Next To Me	Emeli Sande
Va Va Voom	Nicki Minaj
Power Trip	J. Cole Featuring Miguel
Can't Hold Us	Macklemore & Ryan Lewis Featuring Ray Dalton
Hold On	Alabama Shakes
Anything Could Happen	Ellie Goulding
Guap	Big Sean
I Can Take It From There	Chris Young
We Still In This B****	B.o.B Featuring T.I. & Juicy J
Goodbye In Her Eyes	Zac Brown Band
Like Jesus Does	Eric Church
Karate Chop (Remix)	Future Featuring Lil Wayne
