Roar	Katy Perry
Blurred Lines	Robin Thicke Featuring T.I. + Pharrell
Royals	Lorde
Holy Grail	Jay Z Featuring Justin Timberlake
Wake Me Up!	Avicii
Summertime Sadness	Lana Del Rey & Cedric Gervais
Applause	Lady Gaga
Hold On, We're Going Home	Drake Featuring Majid Jordan
Safe And Sound	Capital Cities
Berzerk	Eminem
We Can't Stop	Miley Cyrus
Radioactive	Imagine Dragons
Clarity	Zedd Featuring Foxes
Get Lucky	Daft Punk Featuring Pharrell Williams
Treasure	Bruno Mars
Cups (Pitch Perfect's When I'm Gone)	Anna Kendrick
Same Love	Macklemore & Ryan Lewis Featuring Mary Lambert
Love Somebody	Maroon 5
That's My Kind Of Night	Luke Bryan
Best Song Ever	One Direction
Mirrors	Justin Timberlake
Wrecking Ball	Miley Cyrus
I Need Your Love	Calvin Harris Featuring Ellie Goulding
Sail	AWOLNATION
Can't Hold Us	Macklemore & Ryan Lewis Featuring Ray Dalton
Cruise	Florida Georgia Line Featuring Nelly
Gone, Gone, Gone	Phillip Phillips
Round Here	Florida Georgia Line
The Fox	Ylvis
Night Train	Jason Aldean
Give It 2 U	Robin Thicke Featuring Kendrick Lamar
Redneck Crazy	Tyler Farr
It Goes Like This	Thomas Rhett
Just Give Me A Reason	P!nk Featuring Nate Ruess
Gas Pedal	Sage The Gemini Featuring IamSu!
Still Into You	Paramore
Crooked Smile	J. Cole Featuring TLC
Beware	Big Sean Featuring Lil Wayne & Jhene Aiko
Love More	Chris Brown Featuring Nicki Minaj
Brave	Sara Bareilles
Counting Stars	OneRepublic
The Way	Ariana Grande Featuring Mac Miller
Everything Has Changed	Taylor Swift Featuring Ed Sheeran
Take Back The Night	Justin Timberlake
Little Bit Of Everything	Keith Urban
Come & Get It	Selena Gomez
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
Hey Girl	Billy Currington
Stay	Rihanna Featuring Mikky Ekko
The Other Side	Jason Derulo
All Over The Road	Easton Corbin
Let Her Go	Passenger
Body Party	Ciara
Mine Would Be You	Blake Shelton
Type Of Way	Rich Homie Quan
Southern Girl	Tim McGraw
Young And Beautiful	Lana Del Rey
Don't Ya	Brett Eldredge
Runnin' Outta Moonlight	Randy Houser
Red Nose	Sage The Gemini
Point At You	Justin Moore
True Love	P!nk Featuring Lily Allen
Aw Naw	Chris Young
Sweater Weather	The Neighbourhood
Parking Lot Party	Lee Brice
HeadBand	B.o.B Featuring 2 Chainz
Feds Watching	2 Chainz Featuring Pharrell
Slow Down	Selena Gomez
See You Again	Carrie Underwood
Tapout	Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj
Don't Drop That Thun Thun!	The FiNATTiCZ
Pompeii	Bastille
Replay	Zendaya
Tom Ford	JAY-Z
Atlas	Coldplay
Red	Taylor Swift
Beneath Your Beautiful	Labrinth Featuring Emeli Sande
Turn The Night Up	Enrique Iglesias
Easy	Sheryl Crow
Darte Un Beso	Prince Royce
Bounce It	Juicy J Featuring Wale & Trey Songz
Almost Is Never Enough	Ariana Grande & Nathan Sykes
Sunny And 75	Joe Nichols
Ain't Worried About Nothin	French Montana
I Luv This Sh*t	August Alsina Featuring Trinidad James
Goodbye Town	Lady Antebellum
Popular Song	MIKA Featuring Ariana Grande
Gorilla	Bruno Mars
Bruises	Train Featuring Ashley Monroe
When I See This Bar	Kenny Chesney
Miss Movin' On	Fifth Harmony
American Girl	Bonnie McKee
Wop	J. Dash
Baby I	Ariana Grande
F*ckwithmeyouknowigotit	Jay Z Featuring Rick Ross
Loco	Enrique Iglesias Featuring Romeo Santos
All Of Me	John Legend
m.A.A.d City	Kendrick Lamar Featuring MC Eiht
Versace	Migos
Act Right	Yo Gotti Featuring Jeezy & YG
