The Monster	Eminem Featuring Rihanna
Timber	Pitbull Featuring Ke$ha
Counting Stars	OneRepublic
Say Something	A Great Big World & Christina Aguilera
Royals	Lorde
Demons	Imagine Dragons
Let Her Go	Passenger
Wake Me Up!	Avicii
Wrecking Ball	Miley Cyrus
Story Of My Life	One Direction
Roar	Katy Perry
Drunk In Love	Beyonce Featuring Jay Z
Hold On, We're Going Home	Drake Featuring Majid Jordan
Dark Horse	Katy Perry Featuring Juicy J
Burn	Ellie Goulding
Do What U Want	Lady Gaga Featuring R. Kelly
Sweater Weather	The Neighbourhood
Team	Lorde
White Walls	Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
23	Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J
Pompeii	Bastille
Stay The Night	Zedd Featuring Hayley Williams
Unconditionally	Katy Perry
My Hitta	YG Featuring Jeezy & Rich Homie Quan
Applause	Lady Gaga
All I Want For Christmas Is You	Mariah Carey
Blurred Lines	Robin Thicke Featuring T.I. + Pharrell
Holy Grail	Jay Z Featuring Justin Timberlake
Show Me	Kid Ink Featuring Chris Brown
Stay	Florida Georgia Line
Radioactive	Imagine Dragons
Love More	Chris Brown Featuring Nicki Minaj
Gas Pedal	Sage The Gemini Featuring IamSu!
Drink A Beer	Luke Bryan
Brave	Sara Bareilles
It Won't Stop	Sevyn Streeter Featuring Chris Brown
All Me	Drake Featuring 2 Chainz & Big Sean
Rap God	Eminem
Sail	AWOLNATION
Whatever She's Got	David Nail
Marry Me	Jason Derulo
Safe And Sound	Capital Cities
Drunk Last Night	Eli Young Band
Best Day Of My Life	American Authors
The Christmas Song (Merry Christmas To You)	Nat King Cole
Wasting All These Tears	Cassadee Pope
Carolina	Parmalee
Who You Love	John Mayer Featuring Katy Perry
Replay	Zendaya
Rockin' Around The Christmas Tree	Brenda Lee
I Have Nothing	Tessanne Chin
Sweet Annie	Zac Brown Band
Chillin' It	Cole Swindell
Let It Go	Idina Menzel
All Of Me	John Legend
That's My Kind Of Night	Luke Bryan
When She Says Baby	Jason Aldean
Bottoms Up	Brantley Gilbert
Animals	Martin Garrix
HeadBand	B.o.B Featuring 2 Chainz
Let It Go	Demi Lovato
Don't Let Me Be Lonely	The Band Perry
Hey Brother	Avicii
Little Drummer Boy	Pentatonix
Friday Night	Eric Paslay
XO	Beyonce
Up All Night	Jon Pardi
The Language	Drake
Slow Down	Selena Gomez
Love Me Again	John Newman
Radio	Darius Rucker
I Luv This Sh*t	August Alsina Featuring Trinidad James
We Were Us	Keith Urban And Miranda Lambert
TKO	Justin Timberlake
Compass	Lady Antebellum
Let It Be	Tessanne Chin & Adam Levine
Berzerk	Eminem
Underneath The Tree	Kelly Clarkson
Up Down (Do This All Day)	T-Pain Featuring B.o.B
Sunny And 75	Joe Nichols
Alone Together	Fall Out Boy
Best Song Ever	One Direction
Do I Wanna Know?	Arctic Monkeys
Helluva Life	Frankie Ballard
All That Matters	Justin Bieber
See You Tonight	Scotty McCreery
Bound 2	Kanye West
Honest	Future
Talk Dirty	Jason Derulo Featuring 2 Chainz
Perfume	Britney Spears
Bounce It	Juicy J Featuring Wale & Trey Songz
Everybody's Got Somebody But Me	Hunter Hayes Featuring Jason Mraz
Old School Love	Lupe Fiasco Featuring Ed Sheeran
Worst Behavior	Drake
Waiting For Superman	Daughtry
Survival	Eminem
Paranoid	Ty Dolla $ign Featuring B.o.B
The Fox	Ylvis
Mine	Beyonce Featuring Drake
I Hold On	Dierks Bentley
