Timber	Pitbull Featuring Ke$ha
Dark Horse	Katy Perry Featuring Juicy J
Counting Stars	OneRepublic
Say Something	A Great Big World & Christina Aguilera
The Monster	Eminem Featuring Rihanna
Let Her Go	Passenger
Royals	Lorde
Team	Lorde
Story Of My Life	One Direction
Pompeii	Bastille
Wake Me Up!	Avicii
Drunk In Love	Beyonce Featuring Jay Z
Demons	Imagine Dragons
Burn	Ellie Goulding
Talk Dirty	Jason Derulo Featuring 2 Chainz
Roar	Katy Perry
The Man	Aloe Blacc
Wrecking Ball	Miley Cyrus
Do What U Want	Lady Gaga Featuring R. Kelly
Hold On, We're Going Home	Drake Featuring Majid Jordan
Sweater Weather	The Neighbourhood
Stay The Night	Zedd Featuring Hayley Williams
White Walls	Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
Show Me	Kid Ink Featuring Chris Brown
Happy	Pharrell Williams
Let It Go	Idina Menzel
My Hitta	YG Featuring Jeezy & Rich Homie Quan
Can't Remember To Forget You	Shakira Featuring Rihanna
23	Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J
Adore You	Miley Cyrus
Brave	Sara Bareilles
Best Day Of My Life	American Authors
Blurred Lines	Robin Thicke Featuring T.I. + Pharrell
Drink A Beer	Luke Bryan
Love Me Again	John Newman
Safe And Sound	Capital Cities
Hey Brother	Avicii
Chillin' It	Cole Swindell
Whatever She's Got	David Nail
Stay	Florida Georgia Line
Radioactive	Imagine Dragons
Turn Down For What	DJ Snake & Lil Jon
Unconditionally	Katy Perry
All Me	Drake Featuring 2 Chainz & Big Sean
XO	Beyonce
Love More	Chris Brown Featuring Nicki Minaj
Sail	AWOLNATION
Applause	Lady Gaga
All Of Me	John Legend
It Won't Stop	Sevyn Streeter Featuring Chris Brown
Rap God	Eminem
When She Says Baby	Jason Aldean
Animals	Martin Garrix
Sweet Annie	Zac Brown Band
Give Me Back My Hometown	Eric Church
Up All Night	Jon Pardi
Let It Go	Demi Lovato
Wasting All These Tears	Cassadee Pope
Friday Night	Eric Paslay
Don't Let Me Be Lonely	The Band Perry
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
Compass	Lady Antebellum
Drunk Last Night	Eli Young Band
For The First Time In Forever	Kristen Bell & Idina Menzel
Paranoid	Ty Dolla $ign Featuring B.o.B
Up Down (Do This All Day)	T-Pain Featuring B.o.B
Bottoms Up	Brantley Gilbert
Young Girls	Bruno Mars
The Language	Drake
Neon Lights	Demi Lovato
Radio	Darius Rucker
Love Don't Die	The Fray
I Luv This Sh*t	August Alsina Featuring Trinidad James
Waiting For Superman	Daughtry
See You Tonight	Scotty McCreery
Helluva Life	Frankie Ballard
I Hold On	Dierks Bentley
Drink To That All Night	Jerrod Niemann
Do I Wanna Know?	Arctic Monkeys
Carolina	Parmalee
19 You + Me	Dan + Shay
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Rewind	Rascal Flatts
Doin' What She Likes	Blake Shelton
Marry Me	Jason Derulo
Partition	Beyonce
The Heart Of Dixie	Danielle Bradbery
We Were Us	Keith Urban And Miranda Lambert
Ride	SoMo
Get Me Some Of That	Thomas Rhett
Goodnight Kiss	Randy Houser
She Knows	J. Cole Featuring Amber Coffman & The Cults
Thinking About You	Calvin Harris Featuring Ayah Marar
Take Me Home	Cash Cash Featuring Bebe Rexha
Everything I Shouldn't Be Thinking About	Thompson Square
How I Feel	Flo Rida
Alone Together	Fall Out Boy
Worst Behavior	Drake
Oceans (Where Feet May Fail)	Hillsong UNITED
All That Matters	Justin Bieber
