Happy	Pharrell Williams
All Of Me	John Legend
Dark Horse	Katy Perry Featuring Juicy J
Talk Dirty	Jason Derulo Featuring 2 Chainz
Let It Go	Idina Menzel
Pompeii	Bastille
Team	Lorde
Turn Down For What	DJ Snake & Lil Jon
The Man	Aloe Blacc
Counting Stars	OneRepublic
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Not A Bad Thing	Justin Timberlake
Best Day Of My Life	American Authors
Play It Again	Luke Bryan
Sing	Ed Sheeran
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Timber	Pitbull Featuring Ke$ha
Hey Brother	Avicii
Show Me	Kid Ink Featuring Chris Brown
Bottoms Up	Brantley Gilbert
Animals	Martin Garrix
Na Na	Trey Songz
Story Of My Life	One Direction
Let Her Go	Passenger
Burn	Ellie Goulding
Ain't It Fun	Paramore
Drunk In Love	Beyonce Featuring Jay Z
Wake Me Up!	Avicii
Demons	Imagine Dragons
Say Something	A Great Big World & Christina Aguilera
La La La	Naughty Boy Featuring Sam Smith
The Monster	Eminem Featuring Rihanna
#SELFIE	The Chainsmokers
Partition	Beyonce
Royals	Lorde
Give Me Back My Hometown	Eric Church
Fancy	Iggy Azalea Featuring Charli XCX
Drink To That All Night	Jerrod Niemann
Neon Lights	Demi Lovato
Human	Christina Perri
Automatic	Miranda Lambert
Radioactive	Imagine Dragons
The Worst	Jhene Aiko
Rewind	Rascal Flatts
Get Me Some Of That	Thomas Rhett
My Hitta	YG Featuring Jeezy & Rich Homie Quan
Summer	Calvin Harris
Cop Car	Keith Urban
Doin' What She Likes	Blake Shelton
Trophies	Young Money Featuring Drake
Classic	MKTO
Wild Wild Love	Pitbull Featuring G.R.L.
Paranoid	Ty Dolla $ign Featuring B.o.B
Magic	Coldplay
Me And My Broken Heart	Rixton
Mmm Yeah	Austin Mahone Featuring Pitbull
19 You + Me	Dan + Shay
Goodnight Kiss	Randy Houser
Can't Remember To Forget You	Shakira Featuring Rihanna
Move That Doh	Future Featuring Pharrell, Pusha T & Casino
Stoner	Young Thug
Who Do You Love?	YG Featuring Drake
Beat Of The Music	Brett Eldredge
Sleeping With A Friend	Neon Trees
Lettin' The Night Roll	Justin Moore
She Looks So Perfect	5 Seconds Of Summer
The Walker	Fitz And The Tantrums
Red Lights	Tiesto
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
Let It Go	Demi Lovato
I Hold On	Dierks Bentley
Beachin'	Jake Owen
When She Says Baby	Jason Aldean
Man Of The Year	ScHoolboy Q
For The First Time In Forever	Kristen Bell & Idina Menzel
John Doe	B.o.B Featuring Priscilla
Do I Wanna Know?	Arctic Monkeys
Headlights	Eminem Featuring Nate Ruess
Latch	Disclosure Featuring Sam Smith
Invisible	Hunter Hayes
On Top Of The World	Imagine Dragons
Part II (On The Run)	Jay Z Featuring Beyonce
Ride	SoMo
Whiskey In My Water	Tyler Farr
Lookin' For That Girl	Tim McGraw
Helluva Life	Frankie Ballard
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song]	Pitbull Featuring Jennifer Lopez & Claudia Leitte
Cut Her Off	KCamp Featuring 2 Chainz
Empire	Shakira
Birthday	Katy Perry
Adore You	Miley Cyrus
Come With Me Now	KONGOS
Oceans (Where Feet May Fail)	Hillsong UNITED
Bad Blood	Bastille
Feelin' Myself	will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard
Slow Me Down	Sara Evans
Girls Chase Boys	Ingrid Michaelson
Take Me Home	Cash Cash Featuring Bebe Rexha
Odio	Romeo Santos Featuring Drake
