All Of Me	John Legend
Fancy	Iggy Azalea Featuring Charli XCX
Problem	Ariana Grande Featuring Iggy Azalea
Happy	Pharrell Williams
Turn Down For What	DJ Snake & Lil Jon
Dark Horse	Katy Perry Featuring Juicy J
Talk Dirty	Jason Derulo Featuring 2 Chainz
Not A Bad Thing	Justin Timberlake
Love Never Felt So Good	Michael Jackson & Justin Timberlake
A Sky Full Of Stars	Coldplay
Summer	Calvin Harris
Ain't It Fun	Paramore
Let It Go	Idina Menzel
Magic	Coldplay
Pompeii	Bastille
Sing	Ed Sheeran
Am I Wrong	Nico & Vinz
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Best Day Of My Life	American Authors
Wiggle	Jason Derulo Featuring Snoop Dogg
Play It Again	Luke Bryan
Me And My Broken Heart	Rixton
Birthday	Katy Perry
Counting Stars	OneRepublic
Classic	MKTO
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
La La La	Naughty Boy Featuring Sam Smith
Rude	MAGIC!
Midnight	Coldplay
Bottoms Up	Brantley Gilbert
Team	Lorde
She Looks So Perfect	5 Seconds Of Summer
Na Na	Trey Songz
Wild Wild Love	Pitbull Featuring G.R.L.
Timber	Pitbull Featuring Ke$ha
Latch	Disclosure Featuring Sam Smith
Show Me	Kid Ink Featuring Chris Brown
Rewind	Rascal Flatts
Partition	Beyonce
Wake Me Up!	Avicii
Demons	Imagine Dragons
Let Her Go	Passenger
Story Of My Life	One Direction
Beachin'	Jake Owen
Headlights	Eminem Featuring Nate Ruess
Get Me Some Of That	Thomas Rhett
Don't Stop	5 Seconds Of Summer
Human	Christina Perri
Stay With Me	Sam Smith
The Monster	Eminem Featuring Rihanna
The Worst	Jhene Aiko
Move That Doh	Future Featuring Pharrell, Pusha T & Casino
Automatic	Miranda Lambert
Come With Me Now	KONGOS
Trophies	Young Money Featuring Drake
Red Lights	Tiesto
Beat Of The Music	Brett Eldredge
Cop Car	Keith Urban
Sleeping With A Friend	Neon Trees
My Eyes	Blake Shelton Featuring Gwen Sebastian
Who Do You Love?	YG Featuring Drake
Chandelier	Sia
Give Me Back My Hometown	Eric Church
Lettin' The Night Roll	Justin Moore
I Don't Dance	Lee Brice
Mmm Yeah	Austin Mahone Featuring Pitbull
Whiskey In My Water	Tyler Farr
Who I Am With You	Chris Young
Love Runs Out	OneRepublic
Empire	Shakira
Drink To That All Night	Jerrod Niemann
Cut Her Off	KCamp Featuring 2 Chainz
Good Kisser	Usher
2 On	Tinashe Featuring ScHoolboy Q
Bailando	Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
Stoner	Young Thug
Work	Iggy Azalea
Yeah	Joe Nichols
We Dem Boyz	Wiz Khalifa
The Walker	Fitz And The Tantrums
River Bank	Brad Paisley
We Are Tonight	Billy Currington
Fever	The Black Keys
Keep Them Kisses Comin'	Craig Campbell
Part II (On The Run)	Jay Z Featuring Beyonce
Where It's At (Yep, Yep)	Dustin Lynch
One	Ed Sheeran
Raging Fire	Phillip Phillips
Girls Chase Boys	Ingrid Michaelson
On Top Of The World	Imagine Dragons
Drunk On A Plane	Dierks Bentley
Main Chick	Kid Ink Featuring Chris Brown
Can't Remember To Forget You	Shakira Featuring Rihanna
Chainsaw	The Band Perry
You & I	One Direction
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
I Choose You	Sara Bareilles
Heaven	Jake Worthington
Wake Up Lovin' You	Craig Morgan
I Won	Future Featuring Kanye West
