Cheerleader	OMI
Can't Feel My Face	The Weeknd
Watch Me	Silento
Bad Blood	Taylor Swift Featuring Kendrick Lamar
See You Again	Wiz Khalifa Featuring Charlie Puth
Trap Queen	Fetty Wap
My Way	Fetty Wap Featuring Monty
Fight Song	Rachel Platten
Shut Up And Dance	WALK THE MOON
Lean On	Major Lazer & DJ Snake Featuring MO
The Hills	The Weeknd
Worth It	Fifth Harmony Featuring Kid Ink
Where Are U Now	Skrillex & Diplo With Justin Bieber
Honey, I'm Good.	Andy Grammer
Hey Mama	David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
Good For You	Selena Gomez Featuring A$AP Rocky
Uptown Funk!	Mark Ronson Featuring Bruno Mars
679	Fetty Wap Featuring Remy Boyz
Want To Want Me	Jason Derulo
Photograph	Ed Sheeran
Post To Be	Omarion Featuring Chris Brown & Jhene Aiko
She's Kinda Hot	5 Seconds Of Summer
Sugar	Maroon 5
Cool For The Summer	Demi Lovato
Classic Man	Jidenna Featuring Roman GianArthur
Earned It (Fifty Shades Of Grey)	The Weeknd
Thinking Out Loud	Ed Sheeran
B**** Better Have My Money	Rihanna
Flex (Ooh Ooh Ooh)	Rich Homie Quan
All Eyes On You	Meek Mill Featuring Chris Brown & Nicki Minaj
Uma Thurman	Fall Out Boy
Kick The Dust Up	Luke Bryan
Love Me Like You Do	Ellie Goulding
Talking Body	Tove Lo
You Know You Like It	DJ Snake & AlunaGeorge
Girl Crush	Little Big Town
Nasty Freestyle	T-Wayne
Take Your Time	Sam Hunt
House Party	Sam Hunt
Slow Motion	Trey Songz
Elastic Heart	Sia
Fun	Pitbull Featuring Chris Brown
Be Real	Kid Ink Featuring DeJ Loaf
One Hell Of An Amen	Brantley Gilbert
Crash And Burn	Thomas Rhett
R.I.C.O.	Meek Mill Featuring Drake
Shake It Off	Taylor Swift
Marvin Gaye	Charlie Puth Featuring Meghan Trainor
Tonight Looks Good On You	Jason Aldean
Renegades	X Ambassadors
Loving You Easy	Zac Brown Band
Like A Wrecking Ball	Eric Church
Buy Me A Boat	Chris Janson
Stitches	Shawn Mendes
Planez	Jeremih Featuring J. Cole
I Don't Like It, I Love It	Flo Rida Featuring Robin Thicke & Verdine White
John Cougar, John Deere, John 3:16	Keith Urban
Sangria	Blake Shelton
Kiss You In The Morning	Michael Ray
How Deep Is Your Love	Calvin Harris & Disciples
This Could Be Us	Rae Sremmurd
Love You Like That	Canaan Smith
The Night Is Still Young	Nicki Minaj
This Summer's Gonna Hurt...	Maroon 5
Young & Crazy	Frankie Ballard
Hell Of A Night	Dustin Lynch
Crushin' It	Brad Paisley
Where Ya At	Future Featuring Drake
Lose My Mind	Brett Eldredge
El Perdon (Forgiveness)	Nicky Jam & Enrique Iglesias
Ghost Town	Adam Lambert
Wet Dreamz	J. Cole
Commas	Future
Real Life	Jake Owen
Good Thing	Sage The Gemini Featuring Nick Jonas
Love Me Like You Mean It	Kelsea Ballerini
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Do It Again	Pia Mia Featuring Chris Brown & Tyga
How Many Times	DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
Bright	Echosmith
Strip It Down	Luke Bryan
The Matrimony	Wale Featuring Usher
Should've Been Us	Tori Kelly
Beautiful Now	Zedd Featuring Jon Bellion
Locked Away	R. City Featuring Adam Levine
Ex's & Oh's	Elle King
Yoga	Janelle Monae & Jidenna
Burning House	Cam
Fly	Maddie & Tae
Alright	Kendrick Lamar
I'm Comin' Over	Chris Young
Baby Be My Love Song	Easton Corbin
Break Up With Him	Old Dominion
Sippin' On Fire	Florida Georgia Line
Blow A Bag	Future
Tear In My Heart	twenty one pilots
One Man Can Change The World	Big Sean Featuring Kanye West & John Legend
Anything Goes	Florida Georgia Line
Save It For A Rainy Day	Kenny Chesney
Dance Like We're Making Love	Ciara
