Pillowtalk	Zayn
Love Yourself	Justin Bieber
Sorry	Justin Bieber
Stressed Out	twenty one pilots
Hello	Adele
Summer Sixteen	Drake
Work	Rihanna Featuring Drake
My House	Flo Rida
Roses	The Chainsmokers Featuring Rozes
Me, Myself & I	G-Eazy x Bebe Rexha
Stitches	Shawn Mendes
Here	Alessia Cara
Hands To Myself	Selena Gomez
Cake By The Ocean	DNCE
Same Old Love	Selena Gomez
In The Night	The Weeknd
One Call Away	Charlie Puth
Hotline Bling	Drake
Don't	Bryson Tiller
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
What Do You Mean?	Justin Bieber
Jumpman	Drake & Future
The Hills	The Weeknd
White Iverson	Post Malone
Hide Away	Daya
I Know What You Did Last Summer	Shawn Mendes & Camila Cabello
Say It	Tory Lanez
Antidote	Travis Scott
When We Were Young	Adele
Die A Happy Man	Thomas Rhett
679	Fetty Wap Featuring Remy Boyz
Ex's & Oh's	Elle King
Break Up In A Small Town	Sam Hunt
On My Mind	Ellie Goulding
Wildest Dreams	Taylor Swift
Adventure Of A Lifetime	Coldplay
Stand By You	Rachel Platten
Watch Me	Silento
Down In The DM	Yo Gotti Featuring Nicki Minaj
Home Alone Tonight	Luke Bryan Featuring Karen Fairchild
Lean On	Major Lazer & DJ Snake Featuring MO
Can't Feel My Face	The Weeknd
7 Years	Lukas Graham
Exchange	Bryson Tiller
See You Again	Wiz Khalifa Featuring Charlie Puth
2 Phones	Kevin Gates
No Role Modelz	J. Cole
I Took A Pill In Ibiza	Mike Posner
Out Of The Woods	Taylor Swift
Again	Fetty Wap
Back To Sleep	Chris Brown
Best Friend	Young Thug
Oui	Jeremih
Perfect	One Direction
Backroad Song	Granger Smith
Get Ugly	Jason Derulo
You Should Be Here	Cole Swindell
Heartbeat	Carrie Underwood
Really Really	Kevin Gates
Sugar	Robin Schulz Featuring Francesco Yates
Drunk On Your Love	Brett Eldredge
Break On Me.	Keith Urban
Beautiful Drug	Zac Brown Band
Irresistible	Fall Out Boy
Stay A Little Longer	Brothers Osborne
Dibs	Kelsea Ballerini
Confident	Demi Lovato
Hymn For The Weekend	Coldplay
Confession	Florida Georgia Line
Something In The Way You Move	Ellie Goulding
My Church	Maren Morris
We Went	Randy Houser
Big Rings	Drake & Future
Watch Out	2 Chainz
I Love This Life	LOCASH
Bang My Head	David Guetta Featuring Sia & Fetty Wap
Nobody To Blame	Chris Stapleton
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
Middle	DJ Snake Featuring Bipolar Sunshine
Let It Go	James Bay
I Like The Sound Of That	Rascal Flatts
$ave Dat Money	Lil Dicky Featuring Fetty Wap & Rich Homie Quan
Sorry Not Sorry	Bryson Tiller
Good To Be Alive (Hallelujah)	Andy Grammer
Youth	Troye Sivan
Hollow	Tori Kelly
The Fix	Nelly Featuring Jeremih
Snapback	Old Dominion
Walking On A Dream	Empire Of The Sun
Do It Like Me	DLOW
Needed Me	Rihanna
History	One Direction
Dessert	Dawin
Country Nation	Brad Paisley
WTF (Where They From)	Missy Elliott Featuring Pharrell Williams
Back Up	DeJ Loaf Featuring Big Sean
Jam	Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx
Acquainted	The Weeknd
Alive	Sia
Play No Games	Big Sean Featuring Chris Brown & Ty Dolla $ign
