Work	Rihanna Featuring Drake
Love Yourself	Justin Bieber
Stressed Out	twenty one pilots
Sorry	Justin Bieber
My House	Flo Rida
Pillowtalk	Zayn
Me, Myself & I	G-Eazy x Bebe Rexha
Hello	Adele
Cake By The Ocean	DNCE
Roses	The Chainsmokers Featuring Rozes
Hands To Myself	Selena Gomez
7 Years	Lukas Graham
Down In The DM	Yo Gotti Featuring Nicki Minaj
One Call Away	Charlie Puth
I Took A Pill In Ibiza	Mike Posner
Stitches	Shawn Mendes
Don't	Bryson Tiller
When We Were Young	Adele
In The Night	The Weeknd
Same Old Love	Selena Gomez
Hotline Bling	Drake
The Hills	The Weeknd
Hide Away	Daya
Jumpman	Drake & Future
What Do You Mean?	Justin Bieber
Here	Alessia Cara
Say It	Tory Lanez
Oui	Jeremih
2 Phones	Kevin Gates
679	Fetty Wap Featuring Remy Boyz
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Summer Sixteen	Drake
Adventure Of A Lifetime	Coldplay
Ex's & Oh's	Elle King
Let It Go	James Bay
Back To Sleep	Chris Brown
Exchange	Bryson Tiller
Can't Feel My Face	The Weeknd
Die A Happy Man	Thomas Rhett
Antidote	Travis Scott
Stand By You	Rachel Platten
White Iverson	Post Malone
Something In The Way You Move	Ellie Goulding
Heartbeat	Carrie Underwood
See You Again	Wiz Khalifa Featuring Charlie Puth
Wildest Dreams	Taylor Swift
Sugar	Robin Schulz Featuring Francesco Yates
Best Friend	Young Thug
Lean On	Major Lazer & DJ Snake Featuring MO
You Should Be Here	Cole Swindell
I Know What You Did Last Summer	Shawn Mendes & Camila Cabello
Drunk On Your Love	Brett Eldredge
Low Life	Future Featuring The Weeknd
Break On Me.	Keith Urban
My Church	Maren Morris
Home Alone Tonight	Luke Bryan Featuring Karen Fairchild
Middle	DJ Snake Featuring Bipolar Sunshine
Never Forget You	Zara Larsson & MNEK
Beautiful Drug	Zac Brown Band
Backroad Song	Granger Smith
Really Really	Kevin Gates
Confession	Florida Georgia Line
We Went	Randy Houser
Needed Me	Rihanna
Get Ugly	Jason Derulo
Jimmy Choo	Fetty Wap
Youth	Troye Sivan
Make Me Like You	Gwen Stefani
Dibs	Kelsea Ballerini
Nobody To Blame	Chris Stapleton
Snapback	Old Dominion
I Like The Sound Of That	Rascal Flatts
Humble And Kind	Tim McGraw
Think Of You	Chris Young Duet With Cassadee Pope
Lost Boy	Ruth B
Acquainted	The Weeknd
Out Of The Woods	Taylor Swift
Somewhere On A Beach	Dierks Bentley
Perfect	One Direction
Might Be	DJ Luke Nasty
Don't Let Me Down	The Chainsmokers Featuring Daya
Promise	Kid Ink Featuring Fetty Wap
Little Bit Of You	Chase Bryant
Hollow	Tori Kelly
Mind Reader	Dustin Lynch
Sorry Not Sorry	Bryson Tiller
Look At My Dab	Migos
The Sound Of Silence	Disturbed
Watch Out	2 Chainz
Walking On A Dream	Empire Of The Sun
Wild Things	Alessia Cara
That Don't Sound Like You	Lee Brice
Saved	Ty Dolla $ign Featuring E-40
Cut It	O.T. Genasis Featuring Young Dolph
$ave Dat Money	Lil Dicky Featuring Fetty Wap & Rich Homie Quan
Panda	Desiigner
Cheap Thrills	Sia Featuring Sean Paul
History	One Direction
I Love This Life	LOCASH
Might Not	Belly Featuring The Weeknd
