Cheap Thrills	Sia Featuring Sean Paul
One Dance	Drake Featuring WizKid & Kyla
This Is What You Came For	Calvin Harris Featuring Rihanna
Can't Stop The Feeling!	Justin Timberlake
Don't Let Me Down	The Chainsmokers Featuring Daya
Ride	twenty one pilots
Needed Me	Rihanna
Don't Mind	Kent Jones
Panda	Desiigner
Send My Love (To Your New Lover)	Adele
Rise	Katy Perry
Just Like Fire	P!nk
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Me Too	Meghan Trainor
H.O.L.Y.	Florida Georgia Line
I Took A Pill In Ibiza	Mike Posner
Make Me...	Britney Spears Featuring G-Eazy
Controlla	Drake
For Free	DJ Khaled Featuring Drake
Too Good	Drake Featuring Rihanna
Treat You Better	Shawn Mendes
Heathens	twenty one pilots
Work	Rihanna Featuring Drake
Into You	Ariana Grande
Never Be Like You	Flume Featuring Kai
7 Years	Lukas Graham
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
All In My Head (Flex)	Fifth Harmony Featuring Fetty Wap
Stressed Out	twenty one pilots
I Got The Keys	DJ Khaled Featuring Jay Z & Future
Sorry	Beyonce
Let It Go	James Bay
Low Life	Future Featuring The Weeknd
Broccoli	D.R.A.M. Featuring Lil Yachty
I Hate U I Love U	gnash Featuring Olivia O'Brien
Dangerous Woman	Ariana Grande
Love Yourself	Justin Bieber
My House	Flo Rida
Cake By The Ocean	DNCE
Gold	Kiiara
Close	Nick Jonas Featuring Tove Lo
THat Part	ScHoolboy Q Featuring Kanye West
Lost Boy	Ruth B
Wicked	Future
Sorry	Justin Bieber
All The Way Up	Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared
Vice	Miranda Lambert
From The Ground Up	Dan + Shay
Never Forget You	Zara Larsson & MNEK
Kill Em With Kindness	Selena Gomez
Hymn For The Weekend	Coldplay
Church Bells	Carrie Underwood
Record Year	Eric Church
Toothbrush	DNCE
Head Over Boots	Jon Pardi
Wherever I Go	OneRepublic
My PYT	Wale
Lights Come On	Jason Aldean
Peter Pan	Kelsea Ballerini
Make You Miss Me	Sam Hunt
Unsteady	X Ambassadors
Luv	Tory Lanez
No Limit	Usher Featuring Young Thug
Sit Still, Look Pretty	Daya
Fix	Chris Lane
Different For Girls	Dierks Bentley Featuring Elle King
American Country Love Song	Jake Owen
Girls Talk Boys	5 Seconds Of Summer
Uber Everywhere	MadeinTYO
Wake Up	Fetty Wap
Famous	Kanye West
Pop Style	Drake Featuring The Throne
Lockjaw	French Montana Featuring Kodak Black
Money Longer	Lil Uzi Vert
She's Got A Way With Words	Blake Shelton
Wasted Time	Keith Urban
With You Tonight / Hasta El Amanecer	Nicky Jam
Huntin', Fishin' And Lovin' Every Day	Luke Bryan
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
You & Me	Marc E. Bassy Featuring G-Eazy
Mama Said	Lukas Graham
Brand New	Ben Rector
Duele El Corazon	Enrique Iglesias Feat. Wisin or Tinashe & Javada
Body Say	Demi Lovato
No	Meghan Trainor
M.I.L.F. $	Fergie
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
Night's On Fire	David Nail
No Shopping	French Montana Featuring Drake
A Little More Summertime	Jason Aldean
You Was Right	Lil Uzi Vert
Light It Up	Major Lazer Featuring Nyla & Fuse ODG
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
Ophelia	The Lumineers
Childs Play	Drake
Wat U Mean (Aye, Aye, Aye)	Dae Dae
Sex With Me	Rihanna
Come And See Me	PARTYNEXTDOOR Featuring Drake
Body	Dreezy Featuring Jeremih
Lush Life	Zara Larsson
