Closer	The Chainsmokers Featuring Halsey
Starboy	The Weeknd Featuring Daft Punk
Heathens	twenty one pilots
Let Me Love You	DJ Snake Featuring Justin Bieber
Broccoli	D.R.A.M. Featuring Lil Yachty
24K Magic	Bruno Mars
Side To Side	Ariana Grande Featuring Nicki Minaj
Cold Water	Major Lazer Featuring Justin Bieber & MO
Juju On That Beat (TZ Anthem)	Zay Hilfigerrr & Zayion McCall
I Hate U I Love U	gnash Featuring Olivia O'Brien
Treat You Better	Shawn Mendes
Cheap Thrills	Sia Featuring Sean Paul
Don't Wanna Know	Maroon 5 Featuring Kendrick Lamar
Starving	Hailee Steinfeld & Grey Featuring Zedd
Gold	Kiiara
Black Beatles	Rae Sremmurd Featuring Gucci Mane
Don't Let Me Down	The Chainsmokers Featuring Daya
This Is What You Came For	Calvin Harris Featuring Rihanna
The Greatest	Sia Featuring Kendrick Lamar
Ride	twenty one pilots
Can't Stop The Feeling!	Justin Timberlake
OOOUUU	Young M.A
One Dance	Drake Featuring WizKid & Kyla
Fake Love	Drake
Caroline	Amine
Send My Love (To Your New Lover)	Adele
Unsteady	X Ambassadors
Needed Me	Rihanna
Luv	Tory Lanez
Scars To Your Beautiful	Alessia Cara
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
Hallelujah	Pentatonix
Too Good	Drake Featuring Rihanna
Sit Still, Look Pretty	Daya
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
Hymn For The Weekend	Coldplay
Tiimmy Turner	Desiigner
Sneakin'	Drake Featuring 21 Savage
Setting The World On Fire	Kenny Chesney Featuring P!nk
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
My Way	Calvin Harris
Blue Ain't Your Color	Keith Urban
Panda	Desiigner
In The Name Of Love	Martin Garrix & Bebe Rexha
Into You	Ariana Grande
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
May We All	Florida Georgia Line Featuring Tim McGraw
Middle Of A Memory	Cole Swindell
Controlla	Drake
X	21 Savage & Metro Boomin Featuring Future
Move	Luke Bryan
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
1 Night	Lil Yachty
Pick Up The Phone	Young Thug And Travis Scott Featuring Quavo
All We Know	The Chainsmokers Featuring Phoebe Ryan
No Limit	Usher Featuring Young Thug
Million Reasons	Lady Gaga
All Time Low	Jon Bellion
I Know Somebody	LOCASH
A Little More Summertime	Jason Aldean
Come And See Me	PARTYNEXTDOOR Featuring Drake
Sleep Without You	Brett Young
Money Longer	Lil Uzi Vert
Too Much Sauce	DJ ESCO Featuring Future & Lil Uzi Vert
Fade	Kanye West
A-YO	Lady Gaga
Vice	Miranda Lambert
This Town	Niall Horan
Shout Out To My Ex	Little Mix
You Was Right	Lil Uzi Vert
It Don't Hurt Like It Used To	Billy Currington
Song For Another Time	Old Dominion
Key To The Streets	YFN Lucci Featuring Migos & Trouble
Fresh Eyes	Andy Grammer
HandClap	Fitz And The Tantrums
Wanna Be That Song	Brett Eldredge
Dirty Laundry	Carrie Underwood
Perfect Illusion	Lady Gaga
Say It	Flume Featuring Tove Lo
Love On The Brain	Rihanna
Capsize	Frenship & Emily Warren
Wishing	DJ Drama Featuring Chris Brown, Skeme & Lyquin
Mercy	Shawn Mendes
All Eyez	The Game Featuring Jeremih
No Heart	21 Savage & Metro Boomin
Ain't My Fault	Zara Larsson
Wat U Mean (Aye, Aye, Aye)	Dae Dae
This Girl	Kungs vs Cookin' On 3 Burners
How I'll Always Be	Tim McGraw
Hold Up	Beyonce
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
My Sh*t	A Boogie Wit da Hoodie
80s Mercedes	Maren Morris
CRZY	Kehlani
Greenlight	Pitbull Featuring Flo Rida & LunchMoney Lewis
Lockjaw	French Montana Featuring Kodak Black
You & Me	Marc E. Bassy Featuring G-Eazy
Goosebumps	Travis Scott
What They Want	Russ
Say You Won't Let Go	James Arthur
