God's Plan	Drake
Perfect	Ed Sheeran
Finesse	Bruno Mars & Cardi B
Psycho	Post Malone Featuring Ty Dolla $ign
Meant To Be	Bebe Rexha & Florida Georgia Line
Havana	Camila Cabello Featuring Young Thug
Look Alive	BlocBoy JB Featuring Drake
The Middle	Zedd, Maren Morris & Grey
Pray For Me	The Weeknd & Kendrick Lamar
Stir Fry	Migos
All The Stars	Kendrick Lamar & SZA
Rockstar	Post Malone Featuring 21 Savage
Let You Down	NF
New Rules	Dua Lipa
Him & I	G-Eazy & Halsey
Ric Flair Drip	Offset & Metro Boomin
Sad!	XXXTENTACION
Mine	Bazzi
Never Be The Same	Camila Cabello
Thunder	Imagine Dragons
I Fall Apart	Post Malone
Top Off	DJ Khaled Featuring JAY Z, Future & B
King's Dead	Jay Rock, Kendrick Lamar, Future & James Blake
Lights Down Low	MAX Featuring gnash
Wolves	Selena Gomez X Marshmello
Love.	Kendrick Lamar Featuring Zacari
Bad At Love	Halsey
Gummo	6ix9ine
Bartier Cardi	Cardi B Featuring 21 Savage
Feel It Still	Portugal. The Man
Outside Today	YoungBoy Never Broke Again
Say Something	Justin Timberlake Featuring Chris Stapleton
Marry Me	Thomas Rhett
Whatever It Takes	Imagine Dragons
MotorSport	Migos, Nicki Minaj & Cardi B
No Limit	G-Eazy Featuring A$AP Rocky & Cardi B
How Long	Charlie Puth
You Make It Easy	Jason Aldean
Wait	Maroon 5
Young Dumb & Broke	Khalid
Sky Walker	Miguel Featuring Travis Scott
Heaven	Kane Brown
Everyday	Logic & Marshmello
New Freezer	Rich The Kid Featuring Kendrick Lamar
Plain Jane	A$AP Ferg Featuring Nicki Minaj
No Excuses	Meghan Trainor
Changes	XXXTENTACION
Plug Walk	Rich The Kid
Sorry Not Sorry	Demi Lovato
Good Old Days	Macklemore Featuring Kesha
Broken Halos	Chris Stapleton
Friends	Marshmello & Anne-Marie
Billy	6ix9ine
Dura	Daddy Yankee
Five More Minutes	Scotty McCreery
Lemon	N*E*R*D & Rihanna
Most People Are Good	Luke Bryan
Nowadays	Lil Skies Featuring Landon Cube
Walk It Talk It	Migos Featuring Drake
This Is Me	Keala Settle & The Greatest Showman Ensemble
River	Eminem Featuring Ed Sheeran
Singles You Up	Jordan Davis
Pick It Up	Famous Dex Featuring A$AP Rocky
El Farsante	Ozuna & Romeo Santos
44 More	Logic
Love Lies	Khalid & Normani
All On Me	Devin Dawson
Written In The Sand	Old Dominion
Hardaway	Derez De'Shon
The Champion	Carrie Underwood Featuring Ludacris
IDGAF	Dua Lipa
Betrayed	Lil Xan
Booty	Blac Youngsta
Narcos	Migos
No Smoke	YoungBoy Never Broke Again
Powerglide	Rae Sremmurd & Juicy J
The Long Way	Brett Eldredge
Red Roses	Lil Skies Featuring Landon Cube
When We	Tank
X	Nicky Jam x J Balvin
Beautiful Trauma	P!nk
Candy Paint	Post Malone
La Modelo	Ozuna x Cardi B
I Like Me Better	Lauv
Dark Knight Dummo	Trippie Redd Featuring Travis Scott
At The Club	Jacquees X Dej Loaf
Rubbin Off The Paint	YBN Nahmir
Echame La Culpa	Luis Fonsi & Demi Lovato
X	ScHoolboy Q, 2 Chainz & Saudi
KEKE	6ix9ine, Fetty Wap & A Boogie Wit da Hoodie
Stranger Things	Joyner Lucas & Chris Brown
Paramedic!	SOB X RBE
She's With Me	High Valley
Tell Me You Love Me	Demi Lovato
Get You	Daniel Caesar Featuring Kali Uchis
Tempo	Chris Brown
Corazon	Maluma X Nego do Borel
Sativa	Jhene Aiko Featuring Swae Lee Or Rae Sremmurd
I Lived It	Blake Shelton
Broken Clocks	SZA
