This Is America	Childish Gambino
Nice For What	Drake
God's Plan	Drake
Psycho	Post Malone Featuring Ty Dolla $ign
Meant To Be	Bebe Rexha & Florida Georgia Line
The Middle	Zedd, Maren Morris & Grey
Look Alive	BlocBoy JB Featuring Drake
Never Be The Same	Camila Cabello
Perfect	Ed Sheeran
No Tears Left To Cry	Ariana Grande
Freaky Friday	Lil Dicky Featuring Chris Brown
Whatever It Takes	Imagine Dragons
Rockstar	Post Malone Featuring 21 Savage
Walk It Talk It	Migos Featuring Drake
Mine	Bazzi
Watch	Travis Scott Featuring Lil Uzi Vert & Kanye West
Boo'd Up	Ella Mai
I Like It	Cardi B, Bad Bunny & J Balvin
Chun-Li	Nicki Minaj
Heaven	Kane Brown
Friends	Marshmello & Anne-Marie
Pray For Me	The Weeknd & Kendrick Lamar
Better Now	Post Malone
Havana	Camila Cabello Featuring Young Thug
Be Careful	Cardi B
Plug Walk	Rich The Kid
In My Blood	Shawn Mendes
Powerglide	Rae Sremmurd & Juicy J
Call Out My Name	The Weeknd
Wait	Maroon 5
Finesse	Bruno Mars & Cardi B
New Rules	Dua Lipa
You Make It Easy	Jason Aldean
Sad!	XXXTENTACION
All The Stars	Kendrick Lamar & SZA
Dame Tu Cosita	Pitbull x El Chombo x Karol G Featuring Cutty Ranks
Ric Flair Drip	Offset & Metro Boomin
Paranoid	Post Malone
Rich & Sad	Post Malone
Ball For Me	Post Malone Featuring Nicki Minaj
Te Bote	Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny
X	Nicky Jam x J Balvin
Dura	Daddy Yankee
One Number Away	Luke Combs
Stay	Post Malone
Delicate	Taylor Swift
Overdose	YoungBoy Never Broke Again
Japan	Famous Dex
One Kiss	Calvin Harris & Dua Lipa
Stir Fry	Migos
Spoil My Night	Post Malone Featuring Swae Lee
KOD	J. Cole
Esskeetit	Lil Pump
Love Lies	Khalid & Normani
Tequila	Dan + Shay
ATM	J. Cole
Kevin's Heart	J. Cole
Beautiful Crazy	Luke Combs
No Excuses	Meghan Trainor
King's Dead	Jay Rock, Kendrick Lamar, Future & James Blake
IDGAF	Dua Lipa
Drip	Cardi B Featuring Migos
Zack And Codeine	Post Malone
Over Now	Post Malone
Youth	Shawn Mendes Featuring Khalid
Same Bitches	Post Malone Featuring G-Eazy & YG
Takin' Shots	Post Malone
New Freezer	Rich The Kid Featuring Kendrick Lamar
92 Explorer	Post Malone
Get Along	Kenny Chesney
Up Down	Morgan Wallen Featuring Florida Georgia Line
I Like Me Better	Lauv
Most People Are Good	Luke Bryan
Done For Me	Charlie Puth Featuring Kehlani
Everyday	Logic & Marshmello
For The First Time	Darius Rucker
Singles You Up	Jordan Davis
Outside Today	YoungBoy Never Broke Again
Zombie	Bad Wolves
Gucci Flip Flops	Bhad Bhabie Featuring Lil Yachty
Bartier Cardi	Cardi B Featuring 21 Savage
OTW	Khalid, Ty Dolla $ign & 6LACK
Sit Next To Me	Foster The People
Barbie Tingz	Nicki Minaj
I Lived It	Blake Shelton
Woman, Amen	Dierks Bentley
Everything's Gonna Be Alright	David Lee Murphy & Kenny Chesney
Say Something	Justin Timberlake Featuring Chris Stapleton
Otherside	Post Malone
Alone	Halsey Featuring Big Sean & Stefflon Don
Sativa	Jhene Aiko Featuring Swae Lee Or Rae Sremmurd
El Farsante	Ozuna & Romeo Santos
Blame It On Me	Post Malone
Diamond Teeth Samurai	YoungBoy Never Broke Again
Famous	Mason Ramsey
I Do	Cardi B Featuring SZA
Mercy	Brett Young
Preach	YoungBoy Never Broke Again
Red Roses	Lil Skies Featuring Landon Cube
When We	Tank
