Sicko Mode	Travis Scott
Thank U, Next	Ariana Grande
Happier	Marshmello & Bastille
Without Me	Halsey
High Hopes	Panic! At The Disco
Mo Bamba	Sheck Wes
ZEZE	Kodak Black Featuring Travis Scott & Offset
Drip Too Hard	Lil Baby & Gunna
Girls Like You	Maroon 5 Featuring Cardi B
Lucid Dreams	Juice WRLD
Better Now	Post Malone
Youngblood	5 Seconds Of Summer
Breathin	Ariana Grande
All I Want For Christmas Is You	Mariah Carey
Wake Up In The Sky	Gucci Mane X Bruno Mars X Kodak Black
Trip	Ella Mai
Sunflower (Spider-Man: Into The Spider-Verse)	Post Malone & Swae Lee
Eastside	benny blanco, Halsey & Khalid
MIA	Bad Bunny Featuring Drake
Love Lies	Khalid & Normani
It's The Most Wonderful Time Of The Year	Andy Williams
Taki Taki	DJ Snake Featuring Selena Gomez, Ozuna & Cardi B
Rockin' Around The Christmas Tree	Brenda Lee
Money	Cardi B
Natural	Imagine Dragons
A Holly Jolly Christmas	Burl Ives
Leave Me Alone	Flipp Dinero
Shallow	Lady Gaga & Bradley Cooper
Better	Khalid
Beautiful	Bazzi Featuring Camila Cabello
I Like It	Cardi B, Bad Bunny & J Balvin
Broken	lovelytheband
Jingle Bell Rock	Bobby Helms
God Is A Woman	Ariana Grande
Taste	Tyga Featuring Offset
FEFE	6ix9ine Featuring Nicki Minaj & Murda Beatz
In My Feelings	Drake
Speechless	Dan + Shay
The Christmas Song (Merry Christmas To You)	Nat King Cole
Uproar	Lil Wayne
Lose It	Kane Brown
She Got The Best Of Me 	Luke Combs
Last Christmas	Wham!
Yes Indeed	Lil Baby & Drake
Tequila	Dan + Shay
Nonstop	Drake
Ring	Cardi B Featuring Kehlani
Dangerous	Meek Mill Featuring Jeremih & PnB Rock
Best Shot	Jimmie Allen
Boo'd Up	Ella Mai
Lie	NF
When The Party's Over	Billie Eilish
Drunk Me	Mitchell Tenpenny
BAD!	XXXTENTACION
Armed And Dangerous	Juice WRLD
Lost In Japan	Shawn Mendes X Zedd
Arms Around You	XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
MAMA	6ix9ine Featuring Nicki Minaj & Kanye West
KIKA	6ix9ine Featuring Tory Lanez
You Say	Lauren Daigle
STOOPID	6ix9ine Featuring Bobby Shmurda
TIC TOC	6ix9ine Featuring Lil Baby
Close Friends	Lil Baby
Fine China	Future & Juice WRLD
Be Alright	Dean Lewis
Topanga	Trippie Redd
That's On Me	Yella Beezy
Smile (Living My Best Life)	Lil' Duval Featuring Snoop Dogg & Ball Greezy
Come Out And Play	Billie Eilish
10 Freaky Girls	Metro Boomin Featuring 21 Savage
WAKA	6ix9ine Featuring A Boogie Wit da Hoodie
1400 / 999 Freestyle	Trippie Redd Featuring Juice WRLD
No Stylist	French Montana Featuring Drake
Burning Man	Dierks Bentley Featuring Brothers Osborne
Talk To Me	Tory Lanez & Rich The Kid
Backin' It Up	Pardison Fontaine Featuring Cardi B
Consequences	Camila Cabello
I'm A Mess	Bebe Rexha
Hangin' On	Chris Young
Dip	Tyga & Nicki Minaj
Good Girl	Dustin Lynch
This Feeling	The Chainsmokers Featuring Kelsea Ballerini
Lovely	Billie Eilish & Khalid
Ella Quiere Beber	Anuel AA & Romeo Santos
Never Recover	Lil Baby & Gunna Featuring Drake
BEBE	6ix9ine Featuring Anuel AA
Rich	Maren Morris
Sixteen	Thomas Rhett
Blue Tacoma	Russell Dickerson
You	Jacquees
Space Cadet	Metro Boomin Featuring Gunna
Last Shot	Kip Moore
Best Part	Daniel Caesar Featuring H.E.R.
Girl Like You	Jason Aldean
Don't Come Out The House	Metro Boomin Featuring 21 Savage
Ocean Eyes	Billie Eilish
I Love It	Kanye West & Lil Pump
Falling Down	Lil Peep & XXXTENTACION
Noticed	Lil Mosey
Close To Me	Ellie Goulding X Diplo Featuring Swae Lee
