Without Me	Halsey
Sunflower (Spider-Man: Into The Spider-Verse)	Post Malone & Swae Lee
Sicko Mode	Travis Scott
High Hopes	Panic! At The Disco
Thank U, Next	Ariana Grande
Happier	Marshmello & Bastille
Girls Like You	Maroon 5 Featuring Cardi B
Drip Too Hard	Lil Baby & Gunna
Wow.	Post Malone
ZEZE	Kodak Black Featuring Travis Scott & Offset
Eastside	benny blanco, Halsey & Khalid
Wake Up In The Sky	Gucci Mane X Bruno Mars X Kodak Black
Money	Cardi B
Mo Bamba	Sheck Wes
Better Now	Post Malone
Youngblood	5 Seconds Of Summer
Going Bad	Meek Mill Featuring Drake
Breathin	Ariana Grande
Taki Taki	DJ Snake Featuring Selena Gomez, Ozuna & Cardi B
MIA	Bad Bunny Featuring Drake
Leave Me Alone	Flipp Dinero
Better	Khalid
Lucid Dreams	Juice WRLD
Shallow	Lady Gaga & Bradley Cooper
Speechless	Dan + Shay
Beautiful	Bazzi Featuring Camila Cabello
Lost In The Fire	Gesaffelstein & The Weeknd
Love Lies	Khalid & Normani
Trip	Ella Mai
I Like It	Cardi B, Bad Bunny & J Balvin
Natural	Imagine Dragons
Close To Me	Ellie Goulding X Diplo Featuring Swae Lee
Dancing With A Stranger	Sam Smith & Normani
A Lot	21 Savage
You Say	Lauren Daigle
Sweet But Psycho	Ava Max
Baby Shark	Pinkfong
She Got The Best Of Me 	Luke Combs
Swervin	A Boogie Wit da Hoodie Featuring 6ix9ine
Look Back At It	A Boogie Wit da Hoodie
Envy Me	Calboy
Beautiful Crazy	Luke Combs
Sixteen	Thomas Rhett
Be Alright	Dean Lewis
Backin' It Up	Pardison Fontaine Featuring Cardi B
Girl Like You	Jason Aldean
Burning Man	Dierks Bentley Featuring Brothers Osborne
Best Shot	Jimmie Allen
Uproar	Lil Wayne
Nothing Breaks Like A Heart	Mark Ronson Featuring Miley Cyrus
This Feeling	The Chainsmokers Featuring Kelsea Ballerini
This Is It	Scotty McCreery
Good Girl	Dustin Lynch
Twerk	City Girls Featuring Cardi B
Calling My Spirit	Kodak Black
Undecided	Chris Brown
Saturday Nights	Khalid & Kane Brown
Armed And Dangerous	Juice WRLD
Crushed Up	Future
Consequences	Camila Cabello
You	Jacquees
Arms Around You	XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
No Stylist	French Montana Featuring Drake
Lovely	Billie Eilish & Khalid
Startender	A Boogie Wit da Hoodie Featuring Offset & Tyga
Ella Quiere Beber	Anuel AA & Romeo Santos
Pure Cocaine	Lil Baby
Electricity	Silk City x Dua Lipa
Nights Like This	Kehlani Featuring Ty Dolla $ign
Yosemite	Travis Scott
Millionaire	Chris Stapleton
Talk To Me	Tory Lanez & Rich The Kid
What Makes You Country	Luke Bryan
When The Party's Over	Billie Eilish
Thotiana	Blueface
Take It From Me	Jordan Davis
Ruin My Life	Zara Larsson
Down To The Honkytonk	Jake Owen
Let Me Down Slowly	Alec Benjamin + Alessia Cara
Jumpin On A Jet	Future
Love Someone	Lukas Graham
Body	Loud Luxury Featuring Brando
Fine China	Future & Juice WRLD
Nuketown	Ski Mask The Slump God Featuring Juice WRLD
BAD!	XXXTENTACION
Love Wins	Carrie Underwood
Roses	benny blanco & Juice WRLD Featuring Brendon Urie
Space Cadet	Metro Boomin Featuring Gunna
Butterfly Doors	Lil Pump
Valuable Pain	YoungBoy Never Broke Again
Blue Tacoma	Russell Dickerson
Close Friends	Lil Baby
Can't Leave Without It	21 Savage
Good Form	Nicki Minaj Featuring Lil Wayne
Here Tonight	Brett Young
idontwannabeyouanymore	Billie Eilish
Ocean Eyes	Billie Eilish
Burn Out	Midland
Splashin	Rich The Kid
Make It Sweet	Old Dominion
