The Box	Roddy Ricch
Life Is Good	Future Featuring Drake
Circles	Post Malone
Memories	Maroon 5
Someone You Loved	Lewis Capaldi
10,000 Hours	Dan + Shay & Justin Bieber
Dance Monkey	Tones And I
Roxanne	Arizona Zervas
Don't Start Now	Dua Lipa
Everything I Wanted	Billie Eilish
Lose You To Love Me	Selena Gomez
Godzilla	Eminem Featuring Juice WRLD
Good As Hell	Lizzo
BOP	DaBaby
Yummy	Justin Bieber
Ballin'	Mustard & Roddy Ricch
Bad Guy	Billie Eilish
Blinding Lights	The Weeknd
Heartless	The Weeknd
HIGHEST IN THE ROOM	Travis Scott
The Bones	Maren Morris
High Fashion	Roddy Ricch Featuring Mustard
Hot Girl Bummer	blackbear
No Guidance	Chris Brown Featuring Drake
Woah	Lil Baby
Senorita	Shawn Mendes & Camila Cabello
Trampoline	SHAED
You Should Be Sad	Halsey
Adore You	Harry Styles
What A Man Gotta Do	Jonas Brothers
B.I.T.C.H.	Megan Thee Stallion
Truth Hurts	Lizzo
Falling	Trevor Daniel
Anyone	Demi Lovato
My Oh My	Camila Cabello Featuring DaBaby
Suicidal	YNW Melly & Juice WRLD
Only Human	Jonas Brothers
Sum 2 Prove	Lil Baby
Sucker	Jonas Brothers
One Man Band	Old Dominion
Even Though I'm Leaving	Luke Combs
Heartache Medication	Jon Pardi
Nobody But You	Blake Shelton Duet With Gwen Stefani
I Don't Care	Ed Sheeran & Justin Bieber
Hot	Young Thug Featuring Gunna
Kinfolks	Sam Hunt
Bandit	Juice WRLD & YoungBoy Never Broke Again
Juicy	Doja Cat & Tyga
Panini	Lil Nas X
South Of The Border	Ed Sheeran Featuring Camila Cabello & Cardi B
Tusa	Karol G & Nicki Minaj
Homesick	Kane Brown
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Good News	Mac Miller
P*$$y Fairy (OTW)	Jhene Aiko
I Hope	Gabby Barrett Featuring Charlie Puth
Slide	H.E.R. Featuring YG
TOES	DaBaby Featuring Lil Baby & Moneybagg Yo
Heart On Ice	Rod Wave
Futsal Shuffle 2020	Lil Uzi Vert
VIBEZ	DaBaby
BEST ON EARTH	Russ & BIA
Out West	JACKBOYS Featuring Young Thug
Graveyard	Halsey
What She Wants Tonight	Luke Bryan
No Idea	Don Toliver
Ridin' Roads	Dustin Lynch
More Hearts Than Mine	Ingrid Andress
SUGAR	BrockHampton
I Wish Grandpas Never Died	Riley Green
Start Wit Me	Roddy Ricch & Gunna
Make Me Want To	Jimmie Allen
Say So	Doja Cat Featuring Nicki Minaj
We Back	Jason Aldean
I Hope You're Happy Now	Carly Pearce & Lee Brice
homecoming queen?	Kelsea Ballerini
U Played	MoneyBagg Yo Featuring Lil Baby
Blue World	Mac Miller
Make No Sense	YoungBoy Never Broke Again
Letter To Nipsey	Meek Mill Featuring Roddy Ricch
Jerry Sprunger	Tory Lanez & T-Pain
Chasin' You	Morgan Wallen
Rare	Selena Gomez
Slow Dance In A Parking Lot	Jordan Davis
Before You Go	Lewis Capaldi
Those Kinda Nights	Eminem Featuring Ed Sheeran
Vete	Bad Bunny
Homemade	Jake Owen
Easy	DaniLeigh Featuring Chris Brown
Come Thru	Summer Walker & Usher
Darkness	Eminem
Camelot	NLE Choppa
Underdog	Alicia Keys
First Man	Camila Cabello
What If I Told You That I Love You	Ali Gatie
Catch	Brett Young
Unaccommodating	Eminem Featuring Young M.A
July	Noah Cyrus & Leon Bridges
You Gon' Learn	Eminem Featuring Royce da 5'9" & White Gold
Dive Bar	Garth Brooks & Blake Shelton
