Savage	Megan Thee Stallion
Say So	Doja Cat Featuring Nicki Minaj
Blinding Lights	The Weeknd
Rockstar	DaBaby Featuring Roddy Ricch
Toosie Slide	Drake
Life Is Good	Future Featuring Drake
The Box	Roddy Ricch
Don't Start Now	Dua Lipa
Intentions	Justin Bieber Featuring Quavo
Circles	Post Malone
Gooba	6ix9ine
Adore You	Harry Styles
Stuck With U	Ariana Grande & Justin Bieber
The Bones	Maren Morris
Roses	SAINt JHN
The Scotts	THE SCOTTS, Travis Scott & Kid Cudi
Blueberry Faygo	Lil Mosey
Chasin' You	Morgan Wallen
I Hope	Gabby Barrett Featuring Charlie Puth
Someone You Loved	Lewis Capaldi
Falling	Trevor Daniel
Does To Me	Luke Combs Featuring Eric Church
Nobody But You	Blake Shelton Duet With Gwen Stefani
High Fashion	Roddy Ricch Featuring Mustard
My Oh My	Camila Cabello Featuring DaBaby
Sunday Best	Surfaces
Everything I Wanted	Billie Eilish
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Death Bed	Powfu Featuring beabadoobee
Flex	Polo G Featuring Juice WRLD
Memories	Maroon 5
Solitaires	Future Featuring Travis Scott
X	Jonas Brothers Featuring Karol G
Trillionaire	Future Featuring YoungBoy Never Broke Again
I Hope You're Happy Now	Carly Pearce & Lee Brice
Before You Go	Lewis Capaldi
After A Few	Travis Denning
Party Girl	StaySolidRocky
Break My Heart	Dua Lipa
Daisies	Katy Perry
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Beer Can't Fix	Thomas Rhett Featuring Jon Pardi
Be Kind	Marshmello & Halsey
Hard To Forget	Sam Hunt
Supalonely	BENEE Featuring Gus Dapperton
Hot Girl Bummer	blackbear
Dance Monkey	Tones And I
One Margarita	Luke Bryan
Ballin'	Mustard & Roddy Ricch
Heartless	Diplo Presents Thomas Wesley Featuring Morgan Wallen
Sum 2 Prove	Lil Baby
Walk Em Down	NLE Choppa Featuring Roddy Ricch
Trapped In The Sun	Future
All Bad	Future Featuring Lil Uzi Vert
Bluebird	Miranda Lambert
Chicago Freestyle	Drake Featuring Giveon
Be Something	Polo G Featuring Lil Baby
In Your Eyes	The Weeknd
Dior	Pop Smoke
Emotionally Scarred	Lil Baby
Martin & Gina	Polo G
21	Polo G
Righteous	Juice WRLD
Watermelon Sugar	Harry Styles
After Party	Don Toliver
Level Of Concern	twenty one pilots
Go Stupid	Polo G Featuring NLE Choppa & Stunna 4 Vegas
Hard To Choose One	Future
Ridin Strikers	Future
We Paid	Lil Baby & 42 Dugg
Hitek Tek	Future
Yo Perreo Sola	Bad Bunny
If The World Was Ending	JP Saxe Featuring Julia Michaels
Ride It.	Regard
Too Comfortable	Future
Believe It	PARTYNEXTDOOR & Rihanna
Here And Now	Kenny Chesney
P*$$y Fairy (OTW)	Jhene Aiko
Posted With Demons	Future
Out West	JACKBOYS Featuring Young Thug
Touch The Sky	Future
One Of My	Future
In Between	Scotty McCreery
Harlem Shake	Future Featuring Young Thug
God Whispered Your Name	Keith Urban
Pain 1993	Drake Featuring Playboi Carti
Die From A Broken Heart	Maddie & Tae
Don't Believe The Hype	Polo G
I Love My Country	Florida Georgia Line
Godzilla	Eminem Featuring Juice WRLD
Turks	NAV, Gunna & Travis Scott
Beautiful Pain (Losin My Mind)	Polo G
33	Polo G
Go Crazy	Chris Brown & Young Thug
I Know	Polo G
3 Headed Goat	Lil Durk Featuring Lil Baby & Polo G
Me Vs Me	Moneybagg Yo
July	Noah Cyrus & Leon Bridges
Drinking Alone	Carrie Underwood
Be A Light	Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
