Rockstar	DaBaby Featuring Roddy Ricch
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Blinding Lights	The Weeknd
Savage	Megan Thee Stallion
Roses	SAINt JHN
Say So	Doja Cat Featuring Nicki Minaj
Intentions	Justin Bieber Featuring Quavo
Watermelon Sugar	Harry Styles
Blueberry Faygo	Lil Mosey
We Paid	Lil Baby & 42 Dugg
Adore You	Harry Styles
Rain On Me	Lady Gaga & Ariana Grande
Circles	Post Malone
The Bigger Picture	Lil Baby
Don't Start Now	Dua Lipa
The Box	Roddy Ricch
The Bones	Maren Morris
Life Is Good	Future Featuring Drake
Falling	Trevor Daniel
Break My Heart	Dua Lipa
I Hope	Gabby Barrett Featuring Charlie Puth
One Margarita	Luke Bryan
Sunday Best	Surfaces
Death Bed	Powfu Featuring beabadoobee
Before You Go	Lewis Capaldi
Toosie Slide	Drake
Hard To Forget	Sam Hunt
Girls In The Hood	Megan Thee Stallion
Party Girl	StaySolidRocky
Go Crazy	Chris Brown & Young Thug
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Chasin' You	Morgan Wallen
How You Like That	BLACKPINK
Stuck With U	Ariana Grande & Justin Bieber
Bluebird	Miranda Lambert
High Fashion	Roddy Ricch Featuring Mustard
Emotionally Scarred	Lil Baby
The Scotts	THE SCOTTS, Travis Scott & Kid Cudi
Be Kind	Marshmello & Halsey
Walk Em Down	NLE Choppa Featuring Roddy Ricch
Supalonely	BENEE Featuring Gus Dapperton
Memories	Maroon 5
Nobody But You	Blake Shelton Duet With Gwen Stefani
Dior	Pop Smoke
Die From A Broken Heart	Maddie & Tae
Hot Girl Bummer	blackbear
Here And Now	Kenny Chesney
I Love My Country	Florida Georgia Line
Wash Us In The Blood	Kanye West Featuring Travis Scott
If The World Was Ending	JP Saxe Featuring Julia Michaels
Like That	Doja Cat Featuring Gucci Mane
Got What I Got	Jason Aldean
Does To Me	Luke Combs Featuring Eric Church
Trollz	6ix9ine & Nicki Minaj
Gooba	6ix9ine
In Between	Scotty McCreery
Don't Rush	Young T & Bugsey Featuring Headie One
Be A Light	Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
P*$$y Fairy (OTW)	Jhene Aiko
God Whispered Your Name	Keith Urban
After Party	Don Toliver
Chicago Freestyle	Drake Featuring Giveon
Done	Chris Janson
Mamacita	Black Eyed Peas, Ozuna + J.Rey Soul
One Big Country Song	LOCASH
Beer Can't Fix	Thomas Rhett Featuring Jon Pardi
After A Few	Travis Denning
3 Headed Goat	Lil Durk Featuring Lil Baby & Polo G
Why We Drink	Justin Moore
Flex	Polo G Featuring Juice WRLD
Black Parade	Beyonce
Need It	Migos Featuring YoungBoy Never Broke Again
One Of Them Girls	Lee Brice
Yo Perreo Sola	Bad Bunny
Know My Rights	6LACK Featuring Lil Baby
Cool Again	Kane Brown
Past Life	Trevor Daniel x Selena Gomez
ily	Surf Mesa Featuring Emilee
Daisies	Katy Perry
Go!	Kid LAROI & Juice WRLD
Dollaz On My Head	Gunna Featuring Young Thug
More Than My Hometown	Morgan Wallen
One Night Standards	Ashley McBryde
Grace	Lil Baby & 42 Dugg
Believe It	PARTYNEXTDOOR & Rihanna
Bang!	AJR
21	Polo G
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
In Your Eyes	The Weeknd
Girl Of My Dreams	Rod Wave
Do It	Chloe X Halle
Stick That In Your Country Song	Eric Church
Lovin' On You	Luke Combs
Pretty Heart	Parker McCollum
Righteous	Juice WRLD
Rags2Riches	Rod Wave Featuring ATR Son Son
My Truck	Breland
X	Jonas Brothers Featuring Karol G
I Called Mama	Tim McGraw
Shotta Flow 5	NLE Choppa
