Dynamite	BTS
WAP	Cardi B Featuring Megan Thee Stallion
Laugh Now Cry Later	Drake Featuring Lil Durk
Rockstar	DaBaby Featuring Roddy Ricch
Blinding Lights	The Weeknd
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Watermelon Sugar	Harry Styles
Roses	SAINt JHN
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Before You Go	Lewis Capaldi
I Hope	Gabby Barrett Featuring Charlie Puth
Mood	24kGoldn Featuring iann dior
Go Crazy	Chris Brown & Young Thug
Break My Heart	Dua Lipa
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Circles	Post Malone
Adore You	Harry Styles
Mood Swings	Pop Smoke Featuring Lil Tjay
Come & Go	Juice WRLD x Marshmello
Savage	Megan Thee Stallion
Popstar	DJ Khaled Featuring Drake
Die From A Broken Heart	Maddie & Tae
The Woo	Pop Smoke Featuring 50 Cent & Roddy Ricch
Death Bed	Powfu Featuring beabadoobee
The Bones	Maren Morris
Be Like That	Kane Brown With Swae Lee & Khalid
Don't Start Now	Dua Lipa
Rags2Riches	Rod Wave Featuring ATR Son Son
Blueberry Faygo	Lil Mosey
Lovin' On You	Luke Combs
Tap In	Saweetie
Wishing Well	Juice WRLD
Got What I Got	Jason Aldean
If The World Was Ending	JP Saxe Featuring Julia Michaels
Life Is Good	Future Featuring Drake
Cardigan	Taylor Swift
One Margarita	Luke Bryan
7 Summers	Morgan Wallen
Cool Again	Kane Brown
I Love My Country	Florida Georgia Line
Midnight Sky	Miley Cyrus
Intentions	Justin Bieber Featuring Quavo
Chasin' You	Morgan Wallen
We Paid	Lil Baby & 42 Dugg
Girls In The Hood	Megan Thee Stallion
One Of Them Girls	Lee Brice
Say So	Doja Cat Featuring Nicki Minaj
The Box	Roddy Ricch
Nobody's Love	Maroon 5
Heather	Conan Gray
Be A Light	Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
Smile	Juice WRLD & The Weeknd
Party Girl	StaySolidRocky
The Bigger Picture	Lil Baby
Rain On Me	Lady Gaga & Ariana Grande
Like That	Doja Cat Featuring Gucci Mane
My Future	Billie Eilish
Said Sum	Moneybagg Yo
I Should Probably Go To Bed	Dan + Shay
Why We Drink	Justin Moore
I Called Mama	Tim McGraw
Greece	DJ Khaled Featuring Drake
24	Money Man Featuring Lil Baby
Bang!	AJR
Kacey Talk	YoungBoy Never Broke Again
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
More Than My Hometown	Morgan Wallen
God Whispered Your Name	Keith Urban
Need It	Migos Featuring YoungBoy Never Broke Again
Un Dia (One Day)	J Balvin, Dua Lipa, Bad Bunny & Tainy
Breaking Me	Topic & A7S
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
Kings & Queens	Ava Max
The Plan	Travis Scott
Pretty Heart	Parker McCollum
Done	Chris Janson
Happy Anywhere	Blake Shelton Featuring Gwen Stefani
Some Girls	Jameson Rodgers
Hawai	Maluma & The Weeknd
One Night Standards	Ashley McBryde
Caramelo	Ozuna x Karol G x Myke Towers
ily	Surf Mesa Featuring Emilee
Martin & Gina	Polo G
Dollaz On My Head	Gunna Featuring Young Thug
The 1	Taylor Swift
My Ex's Best Friend	Machine Gun Kelly X blackbear
Girl Of My Dreams	Rod Wave
After Party	Don Toliver
Stuck With U	Ariana Grande & Justin Bieber
All In	YoungBoy Never Broke Again
Got It On Me	Pop Smoke
3 Headed Goat	Lil Durk Featuring Lil Baby & Polo G
La Jeepeta	Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka
Lonely If You Are	Chase Rice
You Broke Me First.	Tate McRae
Spicy	Nas Featuring Fivio Foreign & A$AP Ferg
Hate The Other Side	Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI
Exile	Taylor Swift Featuring Bon Iver
B*tch From da Souf	Mulatto
21	Polo G
