Mood	24kGoldn Featuring iann dior
Positions	Ariana Grande
I Hope	Gabby Barrett Featuring Charlie Puth
Laugh Now Cry Later	Drake Featuring Lil Durk
Blinding Lights	The Weeknd
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Holy	Justin Bieber Featuring Chance The Rapper
Dakiti	Bad Bunny & Jhay Cortez
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
WAP	Cardi B Featuring Megan Thee Stallion
Hawai	Maluma & The Weeknd
Go Crazy	Chris Brown & Young Thug
Rockstar	DaBaby Featuring Roddy Ricch
Kings & Queens	Ava Max
Before You Go	Lewis Capaldi
Dynamite	BTS
Watermelon Sugar	Harry Styles
More Than My Hometown	Morgan Wallen
Be Like That	Kane Brown With Swae Lee & Khalid
Lonely	Justin Bieber & benny blanco
Said Sum	Moneybagg Yo
ily	Surf Mesa Featuring Emilee
Bang!	AJR
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Levitating	Dua Lipa Featuring DaBaby
Forever After All	Luke Combs
What You Know Bout Love	Pop Smoke
One Of Them Girls	Lee Brice
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Love You Like I Used To	Russell Dickerson
Wonder	Shawn Mendes
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
Got What I Got	Jason Aldean
What That Speed Bout!?	Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again
Happy Anywhere	Blake Shelton Featuring Gwen Stefani
Pretty Heart	Parker McCollum
Come & Go	Juice WRLD x Marshmello
Better Together	Luke Combs
Diamonds	Sam Smith
The Woo	Pop Smoke Featuring 50 Cent & Roddy Ricch
Rags2Riches	Rod Wave Featuring ATR Son Son
Adore You	Harry Styles
Midnight Sky	Miley Cyrus
pov	Ariana Grande
Roses	SAINt JHN
Took Her To The O	King Von
Starting Over	Chris Stapleton
I Should Probably Go To Bed	Dan + Shay
You Broke Me First.	Tate McRae
Lovin' On You	Luke Combs
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
Mood Swings	Pop Smoke Featuring Lil Tjay
Everywhere But On	Matt Stell
Franchise	Travis Scott Featuring Young Thug & M.I.A.
Big, Big Plans	Chris Lane
Tyler Herro	Jack Harlow
Ain't Always The Cowboy	Jon Pardi
So Done	The Kid LAROI
My Ex's Best Friend	Machine Gun Kelly X blackbear
B.S.	Jhene Aiko Featuring H.E.R.
Some Girls	Jameson Rodgers
7 Summers	Morgan Wallen
Popstar	DJ Khaled Featuring Drake
Don't Need Friends	NAV Featuring Lil Baby
The Code	King Von Featuring Polo G
24	Money Man Featuring Lil Baby
U 2 Luv	Ne-Yo & Jeremih
Throat Baby (Go Baby)	BRS Kash
Wishing Well	Juice WRLD
Hit Different	SZA Featuring Ty Dolla $ign
Martin & Gina	Polo G
Don't Stop	Megan Thee Stallion Featuring Young Thug
Good Time	Niko Moon
Champagne Night	Lady A
Tragic	The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money
All These N**gas	King Von Featuring Lil Durk
Golden	Harry Styles
Heather	Conan Gray
Motive	Ariana Grande Featuring Doja Cat
Crazy Story 2.0	King Von Featuring Lil Durk
Put Your Records On	Ritt Momney
Always Do	The Kid LAROI
Young Wheezy	NAV With Gunna
Runnin	21 Savage & Metro Boomin
Tap In	Saweetie
Hole In The Bottle	Kelsea Ballerini
Practice	DaBaby
Blind	DaBaby Featuring Young Thug
Relacion	Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko
Happy Does	Kenny Chesney
Kacey Talk	YoungBoy Never Broke Again
Beers And Sunshine	Darius Rucker
Therefore I Am	Billie Eilish
Off The Table	Ariana Grande Featuring The Weeknd
Take You Dancing	Jason Derulo
Whoopty	CJ
Just Like Magic	Ariana Grande
F*ck You, Goodbye	The Kid LAROI Featuring Machine Gun Kelly
La Toxica	Farruko
