Drivers License	Olivia Rodrigo
Up	Cardi B
Blinding Lights	The Weeknd
Save Your Tears	The Weeknd & Ariana Grande
Mood	24kGoldn Featuring iann dior
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Go Crazy	Chris Brown & Young Thug
Levitating	Dua Lipa Featuring DaBaby
Positions	Ariana Grande
What You Know Bout Love	Pop Smoke
Whoopty	CJ
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Good Days	SZA
Holy	Justin Bieber Featuring Chance The Rapper
Therefore I Am	Billie Eilish
Lonely	Justin Bieber & benny blanco
Back In Blood	Pooh Shiesty Featuring Lil Durk
Better Together	Luke Combs
Dakiti	Bad Bunny & Jhay Cortez
I Hope	Gabby Barrett Featuring Charlie Puth
Body	Megan Thee Stallion
Streets	Doja Cat
Bang!	AJR
You Broke Me First.	Tate McRae
My Ex's Best Friend	Machine Gun Kelly X blackbear
You're Mines Still	Yung Bleu Featuring Drake
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Cry Baby	Megan Thee Stallion Featuring DaBaby
Willow	Taylor Swift
Laugh Now Cry Later	Drake Featuring Lil Durk
On Me	Lil Baby
Before You Go	Lewis Capaldi
Throat Baby (Go Baby)	BRS Kash
Anyone	Justin Bieber
Good Time	Niko Moon
Wasted On You	Morgan Wallen
Time Today	Moneybagg Yo
Sand In My Boots	Morgan Wallen
Hole In The Bottle	Kelsea Ballerini
Starting Over	Chris Stapleton
Best Friend	Saweetie Featuring Doja Cat
Just The Way	Parmalee x Blanco Brown
Dynamite	BTS
Without You	The Kid LAROI
Put Your Records On	Ritt Momney
Beers And Sunshine	Darius Rucker
Damage	H.E.R.
Kings & Queens	Ava Max
Rockstar	DaBaby Featuring Roddy Ricch
Down To One	Luke Bryan
Neighbors	Pooh Shiesty Featuring BIG30
Somebody's Problem	Morgan Wallen
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
What's Your Country Song	Thomas Rhett
GNF (OKOKOK)	Polo G
The Good Ones	Gabby Barrett
Afterglow	Ed Sheeran
Golden	Harry Styles
Goosebumps	Travis Scott & HVME
Buss It	Erica Banks
Long Live	Florida Georgia Line
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Glad You Exist	Dan + Shay
Provide	G-Eazy Featuring Chris Brown & Mark Morrison
Tyler Herro	Jack Harlow
Cover Me Up	Morgan Wallen
Forever After All	Luke Combs
Lady	Brett Young
Heat Waves	Glass Animals
Happy Does	Kenny Chesney
Girl Like Me	Black Eyed Peas X Shakira
Momma's House	Dustin Lynch
Hell Of A View	Eric Church
So Done	The Kid LAROI
Back To The Streets	Saweetie Featuring Jhene Aiko
865	Morgan Wallen
Finesse Out The Gang Way	Lil Durk Featuring Lil Baby
Bichota	Karol G
Somebody Like That	Tenille Arts
Still Trappin'	Lil Durk & King Von
Box Of Churches	Pooh Shiesty Featuring 21 Savage
My Head And My Heart	Ava Max
Bad Boy	Juice WRLD & Young Thug
No More Parties	Coi Leray Featuring Lil Durk
Moonwalking In Calabasas	DDG
Big, Big Plans	Chris Lane
Bandido	Myke Towers & Juhn
You Got It	VEDO
Pick Up Your Feelings	Jazmine Sullivan
Dangerous	Morgan Wallen
Monster	Shawn Mendes & Justin Bieber
One Too Many	Keith Urban Duet With P!nk
Warning	Morgan Wallen
Still Goin Down	Morgan Wallen
Lifestyle	Jason Derulo Featuring Adam Levine
Almost Maybes	Jordan Davis
Masterpiece	DaBaby
Prisoner	Miley Cyrus Featuring Dua Lipa
Skin	Sabrina Carpenter
Quicksand	Morray
