Rapstar	Polo G
Montero (Call Me By Your Name)	Lil Nas X
Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
Peaches	Justin Bieber Featuring Daniel Caesar & Giveon
Save Your Tears	The Weeknd & Ariana Grande
Levitating	Dua Lipa Featuring DaBaby
Kiss Me More	Doja Cat Featuring SZA
Up	Cardi B
Drivers License	Olivia Rodrigo
Astronaut In The Ocean	Masked Wolf
Blinding Lights	The Weeknd
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Calling My Phone	Lil Tjay Featuring 6LACK
What You Know Bout Love	Pop Smoke
Deja Vu	Olivia Rodrigo
Ruff Ryders' Anthem	DMX
Best Friend	Saweetie Featuring Doja Cat
Mood	24kGoldn Featuring iann dior
The Good Ones	Gabby Barrett
Back In Blood	Pooh Shiesty Featuring Lil Durk
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Go Crazy	Chris Brown & Young Thug
You Broke Me First.	Tate McRae
Therefore I Am	Billie Eilish
What's Next	Drake
Heartbreak Anniversary	Giveon
Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
My Ex's Best Friend	Machine Gun Kelly X blackbear
You're Mines Still	Yung Bleu Featuring Drake
Mr. Perfectly Fine (Taylor's Version) (From The Vault)	Taylor Swift
Positions	Ariana Grande
Without You	The Kid LAROI
On Me	Lil Baby
Dakiti	Bad Bunny & Jhay Cortez
Track Star	Mooski
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
No More Parties	Coi Leray Featuring Lil Durk
Tombstone	Rod Wave
Good Days	SZA
Party Up (Up In Here)	DMX
Heat Waves	Glass Animals
Starting Over	Chris Stapleton
Made For You	Jake Owen
Forever After All	Luke Combs
We're Good	Dua Lipa
X Gon' Give It To Ya	DMX
Wants And Needs	Drake Featuring Lil Baby
Streets	Doja Cat
Cry Baby	Megan Thee Stallion Featuring DaBaby
Goosebumps	Travis Scott & HVME
Time Today	Moneybagg Yo
Love Story (Taylor's Version)	Taylor Swift
Street Runner	Rod Wave
What's Your Country Song	Thomas Rhett
Richer	Rod Wave Featuring Polo G
Telepatia	Kali Uchis
Just The Way	Parmalee x Blanco Brown
Hell Of A View	Eric Church
Somebody Like That	Tenille Arts
Long Live	Florida Georgia Line
Down To One	Luke Bryan
Willow	Taylor Swift
Hold On	Justin Bieber
Headshot	Lil Tjay, Polo G & Fivio Foreign
Forever & Always (Taylor's Version)	Taylor Swift
Lady	Brett Young
Breaking Up Was Easy In The 90's	Sam Hunt
Damage	H.E.R.
Momma's House	Dustin Lynch
Anyone	Justin Bieber
Fearless (Taylor's Version)	Taylor Swift
You All Over Me (Taylor's Version) (From The Vault)	Taylor Swift Featuring Maren Morris
My Head And My Heart	Ava Max
La Noche de Anoche	Bad Bunny & Rosalia
You Belong With Me (Taylor's Version)	Taylor Swift
Settling Down	Miranda Lambert
Hellcats & Trackhawks	Lil Durk
Glad You Exist	Dan + Shay
Run It Up	Lil Tjay Featuring Offset & Moneybagg Yo
Almost Maybes	Jordan Davis
Big Gangsta	Kevin Gates
Masterpiece	DaBaby
The Business	Tiesto
4 Da Gang	42 Dugg & Roddy Ricch
Quicksand	Morray
Pick Up Your Feelings	Jazmine Sullivan
Shy Away	twenty one pilots
Fifteen (Taylor's Version)	Taylor Swift
Big Purr (Prrdd)	Coi Leray & Pooh Shiesty
Famous Friends	Chris Young + Kane Brown
Nobody	Dylan Scott
Lil Bit	Nelly & Florida Georgia Line
Met Him Last Night	Demi Lovato Featuring Ariana Grande
The Way I Loved You (Taylor's Version)	Taylor Swift
Monsters	All Time Low Featuring Demi Lovato & blackbear 
One Too Many	Keith Urban Duet With P!nk
Wasted On You	Morgan Wallen
Dancing With The Devil	Demi Lovato
Gone	Dierks Bentley
Real As It Gets	Lil Baby Featuring EST Gee
